,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,World,48369,3092,16115,0 days 18:59:00.000000000
1,US,17327,553,1407,0 days 18:59:00.000000000
3,Italy,4316,525,819,0 days 18:59:00.000000000
2,Spain,4273,637,2357,0 days 18:59:00.000000000
9,Turkey,3135,73,256,0 days 18:59:00.000000000
5,France,2886,518,745,0 days 18:59:00.000000000
4,Germany,2781,105,2300,0 days 18:59:00.000000000
7,Iran,2274,136,4500,0 days 18:59:00.000000000
13,Canada,1451,47,339,0 days 18:59:00.000000000
11,Belgium,1123,185,235,0 days 18:59:00.000000000
20,Russia,954,2,51,0 days 18:59:00.000000000
15,Brazil,806,39,0,0 days 18:59:00.000000000
27,India,726,19,99,0 days 18:59:00.000000000
18,Israel,593,4,108,0 days 18:59:00.000000000
38,Peru,535,10,75,0 days 18:59:00.000000000
32,Japan,515,8,61,0 days 18:59:00.000000000
31,Philippines,414,11,9,0 days 18:59:00.000000000
23,Ireland,390,21,0,0 days 18:59:00.000000000
28,Poland,367,14,28,0 days 18:59:00.000000000
26,Chile,310,7,90,0 days 18:59:00.000000000
44,United Arab Emirates,294,0,19,0 days 18:59:00.000000000
48,Qatar,279,1,14,0 days 18:59:00.000000000
24,Denmark,278,0,0,0 days 18:59:00.000000000
41,Mexico,253,15,0,0 days 18:59:00.000000000
40,Finland,249,0,0,0 days 18:59:00.000000000
36,Indonesia,218,11,28,0 days 18:59:00.000000000
29,Romania,193,9,32,0 days 18:59:00.000000000
42,Panama,187,8,0,0 days 18:59:00.000000000
10,Switzerland,182,49,883,0 days 18:59:00.000000000
33,Ecuador,181,8,0,0 days 18:59:00.000000000
34,Pakistan,154,5,49,0 days 18:59:00.000000000
14,Austria,153,16,465,0 days 18:59:00.000000000
57,Morocco,152,2,6,0 days 18:59:00.000000000
68,Belarus,138,5,0,0 days 18:59:00.000000000
30,Malaysia,131,1,236,0 days 18:59:00.000000000
25,Czechia,116,10,18,0 days 18:59:00.000000000
71,Kuwait,109,0,4,0 days 18:59:00.000000000
21,Australia,108,4,117,0 days 18:59:00.000000000
72,Cameroon,103,0,0,0 days 18:59:00.000000000
56,Egypt,103,7,6,0 days 18:59:00.000000000
49,Argentina,103,2,1,0 days 18:59:00.000000000
85,Uzbekistan,92,0,0,0 days 18:59:00.000000000
61,Iraq,83,5,20,0 days 18:59:00.000000000
51,Colombia,79,3,3,0 days 18:59:00.000000000
37,Saudi Arabia,78,0,0,0 days 18:59:00.000000000
35,Luxembourg,75,5,0,0 days 18:59:00.000000000
22,Norway,74,3,0,0 days 18:59:00.000000000
6,China,73,2,110,0 days 18:59:00.000000000
47,South Africa,70,2,0,0 days 18:59:00.000000000
52,Algeria,69,22,0,0 days 18:59:00.000000000
105,Kyrgyzstan,69,3,24,0 days 18:59:00.000000000
53,Ukraine,68,6,3,0 days 18:59:00.000000000
59,New Zealand,67,0,20,0 days 18:59:00.000000000
39,Thailand,51,3,119,0 days 18:59:00.000000000
17,South Korea,47,3,135,0 days 18:59:00.000000000
94,Channel Islands,47,1,14,0 days 18:59:00.000000000
108,Niger,40,2,13,0 days 18:59:00.000000000
