,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,32770,715,1907,1 days 12:37:00.000000000
1,Italy,11191,1645,2080,1 days 12:37:00.000000000
2,China,1027,11,635,1 days 12:37:00.000000000
3,Spain,13179,1480,5352,1 days 12:37:00.000000000
4,Germany,7824,95,2553,1 days 12:37:00.000000000
5,France,7210,611,1502,1 days 12:37:00.000000000
6,Iran,5977,262,1258,1 days 12:37:00.000000000
7,United Kingdom,4979,469,0,1 days 12:37:00.000000000
8,Switzerland,1901,69,65,1 days 12:37:00.000000000
9,Netherlands,2263,225,247,1 days 12:37:00.000000000
10,Belgium,3552,142,501,1 days 12:37:00.000000000
11,South Korea,105,8,222,1 days 12:37:00.000000000
12,Turkey,3519,39,63,1 days 12:37:00.000000000
13,Austria,1031,28,254,1 days 12:37:00.000000000
14,Canada,1486,8,154,1 days 12:37:00.000000000
15,Portugal,1694,43,0,1 days 12:37:00.000000000
16,Norway,495,6,0,1 days 12:37:00.000000000
17,Brazil,779,43,0,1 days 12:37:00.000000000
18,Israel,787,3,43,1 days 12:37:00.000000000
19,Australia,331,2,56,1 days 12:37:00.000000000
20,Sweden,631,5,0,1 days 12:37:00.000000000
21,Czechia,496,7,0,1 days 12:37:00.000000000
22,Ireland,494,24,0,1 days 12:37:00.000000000
23,Malaysia,309,9,129,1 days 12:37:00.000000000
24,Denmark,349,20,0,1 days 12:37:00.000000000
25,Chile,529,2,32,1 days 12:37:00.000000000
26,Luxembourg,345,6,0,1 days 12:37:00.000000000
27,Ecuador,263,16,0,1 days 12:37:00.000000000
28,Japan,367,5,52,1 days 12:37:00.000000000
29,Poland,426,6,0,1 days 12:37:00.000000000
30,Romania,523,17,91,1 days 12:37:00.000000000
31,Pakistan,189,3,4,1 days 12:37:00.000000000
32,Russia,498,4,19,1 days 12:37:00.000000000
33,Philippines,615,17,11,1 days 12:37:00.000000000
34,Thailand,143,1,0,1 days 12:37:00.000000000
35,Saudi Arabia,195,5,31,1 days 12:37:00.000000000
