,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,30849,1114,1562,0 days 23:32:00.000000000
2,Spain,8102,1043,4096,0 days 23:32:00.000000000
3,Germany,7720,216,2700,0 days 23:32:00.000000000
1,Italy,4668,760,1431,0 days 23:32:00.000000000
7,United Kingdom,4244,569,0,0 days 23:32:00.000000000
6,Iran,2875,124,1238,0 days 23:32:00.000000000
9,Turkey,2456,79,82,0 days 23:32:00.000000000
5,France,2116,471,1494,0 days 23:32:00.000000000
8,Switzerland,1690,75,1046,0 days 23:32:00.000000000
13,Canada,1602,26,446,0 days 23:32:00.000000000
10,Belgium,1384,183,363,0 days 23:32:00.000000000
17,Israel,1217,9,63,0 days 23:32:00.000000000
16,Brazil,1108,46,0,0 days 23:32:00.000000000
11,Netherlands,1083,166,0,0 days 23:32:00.000000000
15,Portugal,783,22,25,0 days 23:32:00.000000000
23,Russia,771,6,45,0 days 23:32:00.000000000
18,Sweden,519,43,87,0 days 23:32:00.000000000
34,India,507,23,29,0 days 23:32:00.000000000
26,Ecuador,415,27,0,0 days 23:32:00.000000000
12,Austria,413,12,313,0 days 23:32:00.000000000
21,Ireland,402,13,0,0 days 23:32:00.000000000
24,Chile,373,2,101,0 days 23:32:00.000000000
30,Philippines,322,11,1,0 days 23:32:00.000000000
20,Norway,303,6,19,0 days 23:32:00.000000000
22,Czechia,297,5,6,0 days 23:32:00.000000000
25,Denmark,294,19,195,0 days 23:32:00.000000000
19,Australia,279,4,0,0 days 23:32:00.000000000
28,Romania,278,28,15,0 days 23:32:00.000000000
29,Poland,272,15,49,0 days 23:32:00.000000000
32,Pakistan,268,6,13,0 days 23:32:00.000000000
27,Malaysia,208,5,122,0 days 23:32:00.000000000
33,Japan,206,0,0,0 days 23:32:00.000000000
31,Luxembourg,168,1,0,0 days 23:32:00.000000000
35,Saudi Arabia,165,5,64,0 days 23:32:00.000000000
43,Mexico,163,8,0,0 days 23:32:00.000000000
48,Colombia,159,1,8,0 days 23:32:00.000000000
56,United Arab Emirates,150,2,0,0 days 23:32:00.000000000
84,Belarus,141,2,0,0 days 23:32:00.000000000
54,Egypt,140,6,22,0 days 23:32:00.000000000
51,Algeria,139,28,0,0 days 23:32:00.000000000
45,Panama,136,2,0,0 days 23:32:00.000000000
57,Ukraine,135,3,3,0 days 23:32:00.000000000
38,Greece,129,3,9,0 days 23:32:00.000000000
37,Indonesia,113,13,9,0 days 23:32:00.000000000
46,Serbia,111,3,0,0 days 23:32:00.000000000
36,Thailand,104,3,0,0 days 23:32:00.000000000
44,Iceland,99,2,59,0 days 23:32:00.000000000
42,Dominican Republic,96,3,7,0 days 23:32:00.000000000
63,Armenia,92,1,2,0 days 23:32:00.000000000
41,Peru,91,17,0,0 days 23:32:00.000000000
14,South Korea,89,4,261,0 days 23:32:00.000000000
59,New Zealand,89,0,9,0 days 23:32:00.000000000
68,Moldova,82,1,0,0 days 23:32:00.000000000
40,South Africa,82,0,0,0 days 23:32:00.000000000
47,Argentina,79,6,8,0 days 23:32:00.000000000
53,Estonia,79,6,12,0 days 23:32:00.000000000
60,Iraq,78,4,32,0 days 23:32:00.000000000
67,Bosnia and Herzegovina,75,3,1,0 days 23:32:00.000000000
65,Bahrain,74,0,44,0 days 23:32:00.000000000
39,Finland,72,2,290,0 days 23:32:00.000000000
64,Lithuania,68,1,0,0 days 23:32:00.000000000
89,Afghanistan,62,0,5,0 days 23:32:00.000000000
66,Hungary,60,1,2,0 days 23:32:00.000000000
52,Slovenia,56,2,60,0 days 23:32:00.000000000
73,Kazakhstan,55,0,1,0 days 23:32:00.000000000
87,Cameroon,51,1,0,0 days 23:32:00.000000000
62,Morocco,49,7,4,0 days 23:32:00.000000000
49,Singapore,49,1,21,0 days 23:32:00.000000000
50,Croatia,48,1,15,0 days 23:32:00.000000000
94,Honduras,47,4,0,0 days 23:32:00.000000000
76,Azerbaijan,41,0,0,0 days 23:32:00.000000000
124,Niger,40,2,0,0 days 23:32:00.000000000
74,Andorra,38,1,0,0 days 23:32:00.000000000
58,Hong Kong,37,0,7,0 days 23:32:00.000000000
79,Cyprus,36,1,0,0 days 23:32:00.000000000
71,Bulgaria,35,0,5,0 days 23:32:00.000000000
72,Tunisia,32,2,0,0 days 23:32:00.000000000
77,North Macedonia,30,0,0,0 days 23:32:00.000000000
118,Isle of Man,30,0,0,0 days 23:32:00.000000000
116,Kenya,29,2,1,0 days 23:32:00.000000000
78,Costa Rica,28,0,0,0 days 23:32:00.000000000
83,Reunion,27,0,0,0 days 23:32:00.000000000
75,Slovakia,26,0,2,0 days 23:32:00.000000000
104,Palestine,26,0,0,0 days 23:32:00.000000000
81,Kuwait,25,0,1,0 days 23:32:00.000000000
102,Nigeria,23,0,0,0 days 23:32:00.000000000
114,Mayotte,22,0,0,0 days 23:32:00.000000000
129,Guinea,22,0,0,0 days 23:32:00.000000000
91,Cuba,21,0,1,0 days 23:32:00.000000000
92,Oman,21,0,23,0 days 23:32:00.000000000
85,Jordan,21,0,9,0 days 23:32:00.000000000
106,Montenegro,21,0,0,0 days 23:32:00.000000000
98,Channel Islands,21,0,0,0 days 23:32:00.000000000
88,Albania,18,1,0,0 days 23:32:00.000000000
109,Georgia,17,0,3,0 days 23:32:00.000000000
69,Lebanon,15,2,3,0 days 23:32:00.000000000
113,DRC,14,2,0,0 days 23:32:00.000000000
111,Guadeloupe,14,2,2,0 days 23:32:00.000000000
70,Latvia,12,0,0,0 days 23:32:00.000000000
