,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
146,Maldives,1,0,0,0 days 12:39:00.000000000
165,Laos,1,0,0,0 days 12:39:00.000000000
166,Libya,0,0,0,0 days 12:39:00.000000000
173,Zimbabwe,0,0,0,0 days 12:39:00.000000000
160,Guyana,0,0,0,0 days 12:39:00.000000000
161,Dominica,0,0,0,0 days 12:39:00.000000000
177,Sudan,0,0,1,0 days 12:39:00.000000000
176,Angola,0,0,0,0 days 12:39:00.000000000
175,Saint Kitts and Nevis,0,0,0,0 days 12:39:00.000000000
174,Guinea-Bissau,0,0,0,0 days 12:39:00.000000000
172,Grenada,0,0,0,0 days 12:39:00.000000000
168,Seychelles,0,0,0,0 days 12:39:00.000000000
171,Benin,0,0,0,0 days 12:39:00.000000000
170,Eswatini,0,0,0,0 days 12:39:00.000000000
162,Curacao,0,0,1,0 days 12:39:00.000000000
169,Suriname,0,0,0,0 days 12:39:00.000000000
163,Syria,0,0,0,0 days 12:39:00.000000000
164,Greenland,0,0,0,0 days 12:39:00.000000000
178,Antigua and Barbuda,0,0,0,0 days 12:39:00.000000000
35,Thailand,0,0,163,0 days 12:39:00.000000000
179,Chad,0,0,0,0 days 12:39:00.000000000
193,Bhutan,0,0,0,0 days 12:39:00.000000000
203,Sierra Leone,0,0,0,0 days 12:39:00.000000000
202,St. Vincent Grenadines,0,0,0,0 days 12:39:00.000000000
201,Papua New Guinea,0,0,0,0 days 12:39:00.000000000
200,Caribbean Netherlands,0,0,0,0 days 12:39:00.000000000
199,Burundi,0,0,0,0 days 12:39:00.000000000
198,Anguilla,0,0,0,0 days 12:39:00.000000000
197,MS Zaandam,0,0,0,0 days 12:39:00.000000000
196,British Virgin Islands,0,0,0,0 days 12:39:00.000000000
195,Belize,0,0,0,0 days 12:39:00.000000000
194,CAR,0,0,0,0 days 12:39:00.000000000
192,Gambia,0,0,0,0 days 12:39:00.000000000
159,Saint Lucia,0,0,0,0 days 12:39:00.000000000
191,Botswana,0,0,0,0 days 12:39:00.000000000
190,Fiji,0,0,0,0 days 12:39:00.000000000
189,Somalia,0,0,0,0 days 12:39:00.000000000
188,Montserrat,0,0,0,0 days 12:39:00.000000000
187,Nicaragua,0,0,0,0 days 12:39:00.000000000
