,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,World,63731,4417,13525,0 days 22:10:00.000000000
1,US,20471,973,2106,0 days 22:10:00.000000000
5,France,7788,1053,1430,0 days 22:10:00.000000000
2,Spain,6023,674,3861,0 days 22:10:00.000000000
8,United Kingdom,5903,621,0,0 days 22:10:00.000000000
4,Germany,5201,149,0,0 days 22:10:00.000000000
7,Iran,2483,151,0,0 days 22:10:00.000000000
13,Canada,1533,20,281,0 days 22:10:00.000000000
6,China,1327,12,502,0 days 22:10:00.000000000
11,Belgium,1260,164,504,0 days 22:10:00.000000000
12,Netherlands,1224,115,0,0 days 22:10:00.000000000
16,Brazil,1084,72,0,0 days 22:10:00.000000000
10,Switzerland,822,44,1569,0 days 22:10:00.000000000
15,Portugal,754,29,0,0 days 22:10:00.000000000
22,Russia,658,2,22,0 days 22:10:00.000000000
30,India,506,13,0,0 days 22:10:00.000000000
18,Israel,429,3,50,0 days 22:10:00.000000000
19,Sweden,387,28,0,0 days 22:10:00.000000000
34,Pakistan,305,4,77,0 days 22:10:00.000000000
25,Denmark,292,18,44,0 days 22:10:00.000000000
40,Serbia,284,7,0,0 days 22:10:00.000000000
44,Dominican Republic,257,14,1,0 days 22:10:00.000000000
27,Romania,251,2,45,0 days 22:10:00.000000000
28,Poland,207,5,18,0 days 22:10:00.000000000
36,Saudi Arabia,206,5,68,0 days 22:10:00.000000000
33,Japan,204,8,0,0 days 22:10:00.000000000
41,Mexico,202,19,0,0 days 22:10:00.000000000
37,Indonesia,181,7,14,0 days 22:10:00.000000000
29,Malaysia,179,4,90,0 days 22:10:00.000000000
54,Ukraine,155,4,2,0 days 22:10:00.000000000
32,Philippines,152,8,7,0 days 22:10:00.000000000
43,Peru,151,12,377,0 days 22:10:00.000000000
14,Austria,149,18,491,0 days 22:10:00.000000000
50,Colombia,139,7,30,0 days 22:10:00.000000000
20,Australia,137,5,1730,0 days 22:10:00.000000000
21,Norway,136,8,0,0 days 22:10:00.000000000
42,Panama,128,5,0,0 days 22:10:00.000000000
72,Belarus,122,3,0,0 days 22:10:00.000000000
52,Singapore,120,0,0,0 days 22:10:00.000000000
24,Czechia,113,3,0,0 days 22:10:00.000000000
63,Moldova,112,3,1,0 days 22:10:00.000000000
