,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,10251,462,87,0 days 17:28:00.000000000
1,Spain,7472,839,3770,0 days 17:28:00.000000000
6,Iran,2715,134,1224,0 days 17:28:00.000000000
10,Belgium,1422,132,377,0 days 17:28:00.000000000
4,China,1268,13,402,0 days 17:28:00.000000000
16,Brazil,1035,75,0,0 days 17:28:00.000000000
3,Germany,799,37,1040,0 days 17:28:00.000000000
21,Russia,601,4,46,0 days 17:28:00.000000000
8,Switzerland,476,37,833,0 days 17:28:00.000000000
29,Poland,457,8,0,0 days 17:28:00.000000000
27,Romania,445,2,16,0 days 17:28:00.000000000
30,Philippines,385,29,1,0 days 17:28:00.000000000
24,Denmark,286,16,104,0 days 17:28:00.000000000
31,Japan,233,6,42,0 days 17:28:00.000000000
32,India,226,4,15,0 days 17:28:00.000000000
12,Austria,225,10,273,0 days 17:28:00.000000000
17,Israel,222,3,49,0 days 17:28:00.000000000
26,Malaysia,217,3,60,0 days 17:28:00.000000000
13,Canada,216,5,88,0 days 17:28:00.000000000
19,Australia,211,3,240,0 days 17:28:00.000000000
50,United Arab Emirates,210,0,35,0 days 17:28:00.000000000
35,Indonesia,196,11,22,0 days 17:28:00.000000000
41,Panama,158,5,0,0 days 17:28:00.000000000
55,Ukraine,138,3,6,0 days 17:28:00.000000000
46,Argentina,132,3,0,0 days 17:28:00.000000000
40,Mexico,132,13,598,0 days 17:28:00.000000000
20,Norway,124,4,0,0 days 17:28:00.000000000
54,Qatar,114,1,1,0 days 17:28:00.000000000
53,Estonia,103,1,3,0 days 17:28:00.000000000
36,Thailand,103,4,76,0 days 17:28:00.000000000
18,Sweden,102,26,0,0 days 17:28:00.000000000
38,Finland,97,0,0,0 days 17:28:00.000000000
48,Colombia,96,2,16,0 days 17:28:00.000000000
14,South Korea,86,5,193,0 days 17:28:00.000000000
77,Kuwait,75,0,1,0 days 17:28:00.000000000
61,Armenia,73,2,10,0 days 17:28:00.000000000
57,New Zealand,71,0,11,0 days 17:28:00.000000000
49,Singapore,65,1,0,0 days 17:28:00.000000000
22,Czechia,64,2,4,0 days 17:28:00.000000000
34,Pakistan,64,2,19,0 days 17:28:00.000000000
64,Lithuania,47,0,0,0 days 17:28:00.000000000
82,Belarus,47,0,0,0 days 17:28:00.000000000
62,Morocco,44,3,19,0 days 17:28:00.000000000
75,Azerbaijan,43,0,6,0 days 17:28:00.000000000
59,Hong Kong,43,0,19,0 days 17:28:00.000000000
66,Hungary,38,5,1,0 days 17:28:00.000000000
56,Slovenia,37,3,0,0 days 17:28:00.000000000
70,Latvia,35,1,30,0 days 17:28:00.000000000
95,Uzbekistan,31,0,0,0 days 17:28:00.000000000
65,Bahrain,29,0,1,0 days 17:28:00.000000000
86,Albania,27,0,22,0 days 17:28:00.000000000
74,Slovakia,24,0,3,0 days 17:28:00.000000000
119,Niger,24,0,0,0 days 17:28:00.000000000
85,Cameroon,22,0,0,0 days 17:28:00.000000000
78,Costa Rica,21,0,2,0 days 17:28:00.000000000
90,Oman,21,0,0,0 days 17:28:00.000000000
71,Bulgaria,20,2,5,0 days 17:28:00.000000000
116,Isle of Man,19,0,0,0 days 17:28:00.000000000
80,Uruguay,19,0,6,0 days 17:28:00.000000000
73,Kazakhstan,18,0,2,0 days 17:28:00.000000000
101,Nigeria,16,0,11,0 days 17:28:00.000000000
105,Montenegro,16,0,0,0 days 17:28:00.000000000
58,Egypt,15,6,22,0 days 17:28:00.000000000
121,Paraguay,15,0,2,0 days 17:28:00.000000000
89,Afghanistan,15,2,0,0 days 17:28:00.000000000
107,Georgia,14,0,1,0 days 17:28:00.000000000
68,Lebanon,14,1,0,0 days 17:28:00.000000000
113,Kyrgyzstan,14,1,0,0 days 17:28:00.000000000
96,Senegal,12,0,11,0 days 17:28:00.000000000
111,DRC,11,2,0,0 days 17:28:00.000000000
103,Palestine,11,0,0,0 days 17:28:00.000000000
67,Bosnia and Herzegovina,11,0,7,0 days 17:28:00.000000000
91,San Marino,9,2,8,0 days 17:28:00.000000000
83,Taiwan,9,0,0,0 days 17:28:00.000000000
112,Bolivia,9,1,0,0 days 17:28:00.000000000
146,Sint Maarten,7,1,0,0 days 17:28:00.000000000
120,Trinidad and Tobago,7,1,0,0 days 17:28:00.000000000
144,Cayman Islands,6,0,0,0 days 17:28:00.000000000
98,Malta,6,0,0,0 days 17:28:00.000000000
93,Vietnam,6,0,10,0 days 17:28:00.000000000
143,Ethiopia,6,0,0,0 days 17:28:00.000000000
125,Bangladesh,5,0,1,0 days 17:28:00.000000000
134,El Salvador,5,0,0,0 days 17:28:00.000000000
180,CAR,5,0,0,0 days 17:28:00.000000000
99,Ivory Coast,4,0,6,0 days 17:28:00.000000000
117,Cambodia,4,0,1,0 days 17:28:00.000000000
109,Martinique,3,0,0,0 days 17:28:00.000000000
132,Jamaica,3,0,0,0 days 17:28:00.000000000
94,Honduras,3,1,0,0 days 17:28:00.000000000
150,Gabon,3,0,1,0 days 17:28:00.000000000
145,Bahamas,3,0,0,0 days 17:28:00.000000000
142,Bermuda,3,0,1,0 days 17:28:00.000000000
108,Venezuela,2,2,0,0 days 17:28:00.000000000
173,Antigua and Barbuda,2,0,0,0 days 17:28:00.000000000
156,Haiti,2,0,0,0 days 17:28:00.000000000
102,Faeroe Islands,2,0,10,0 days 17:28:00.000000000
135,Uganda,1,0,0,0 days 17:28:00.000000000
182,Vatican City,1,0,0,0 days 17:28:00.000000000
165,Libya,1,1,0,0 days 17:28:00.000000000
136,Macao,1,0,0,0 days 17:28:00.000000000
181,Chad,1,0,0,0 days 17:28:00.000000000
175,Saint Kitts and Nevis,1,0,0,0 days 17:28:00.000000000
172,Zimbabwe,1,0,0,0 days 17:28:00.000000000
133,Barbados,1,0,0,0 days 17:28:00.000000000
110,Brunei,1,0,9,0 days 17:28:00.000000000
154,Maldives,0,0,0,0 days 17:28:00.000000000
166,Mozambique,0,0,0,0 days 17:28:00.000000000
152,Tanzania,0,0,1,0 days 17:28:00.000000000
153,Guyana,0,0,0,0 days 17:28:00.000000000
167,Seychelles,0,0,0,0 days 17:28:00.000000000
168,Suriname,0,0,0,0 days 17:28:00.000000000
163,Dominica,0,0,0,0 days 17:28:00.000000000
164,Curacao,0,0,0,0 days 17:28:00.000000000
162,Benin,0,0,0,0 days 17:28:00.000000000
155,New Caledonia,0,0,0,0 days 17:28:00.000000000
161,Saint Lucia,0,0,0,0 days 17:28:00.000000000
