,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,54512,2075,4053,1 days 05:55:00.000000000
4,France,23060,1120,1580,1 days 05:55:00.000000000
2,Italy,9390,1447,2718,1 days 05:55:00.000000000
7,United Kingdom,8185,1392,0,1 days 05:55:00.000000000
3,Germany,7087,219,3960,1 days 05:55:00.000000000
1,Spain,7026,809,3706,1 days 05:55:00.000000000
8,Turkey,5799,145,371,1 days 05:55:00.000000000
6,Iran,2560,158,1801,1 days 05:55:00.000000000
11,Netherlands,1930,312,0,1 days 05:55:00.000000000
12,Canada,1672,75,343,1 days 05:55:00.000000000
10,Belgium,1661,140,375,1 days 05:55:00.000000000
14,Portugal,1490,57,7,1 days 05:55:00.000000000
16,Brazil,1325,49,0,1 days 05:55:00.000000000
9,Switzerland,975,68,0,1 days 05:55:00.000000000
18,Sweden,875,65,102,1 days 05:55:00.000000000
24,Chile,757,9,193,1 days 05:55:00.000000000
22,Ireland,755,39,20,1 days 05:55:00.000000000
21,Russia,582,9,52,1 days 05:55:00.000000000
17,Israel,559,7,89,1 days 05:55:00.000000000
31,India,515,14,37,1 days 05:55:00.000000000
23,Czechia,493,13,7,1 days 05:55:00.000000000
44,United Arab Emirates,481,2,29,1 days 05:55:00.000000000
13,Austria,480,18,485,1 days 05:55:00.000000000
26,Poland,478,20,60,1 days 05:55:00.000000000
42,Serbia,453,13,12,1 days 05:55:00.000000000
27,Romania,430,30,46,1 days 05:55:00.000000000
25,Denmark,405,22,90,1 days 05:55:00.000000000
49,Qatar,376,0,37,1 days 05:55:00.000000000
33,Pakistan,368,6,5,1 days 05:55:00.000000000
32,Japan,318,6,0,1 days 05:55:00.000000000
29,Ecuador,302,52,0,1 days 05:55:00.000000000
19,Norway,295,8,0,1 days 05:55:00.000000000
35,Saudi Arabia,294,8,92,1 days 05:55:00.000000000
38,Finland,267,6,0,1 days 05:55:00.000000000
51,Algeria,265,44,29,1 days 05:55:00.000000000
64,Moldova,247,6,6,1 days 05:55:00.000000000
34,Luxembourg,242,1,420,1 days 05:55:00.000000000
73,Cameroon,203,1,7,1 days 05:55:00.000000000
20,Australia,200,2,0,1 days 05:55:00.000000000
41,Panama,198,4,4,1 days 05:55:00.000000000
43,Peru,181,6,0,1 days 05:55:00.000000000
39,Mexico,178,10,0,1 days 05:55:00.000000000
54,Ukraine,154,5,4,1 days 05:55:00.000000000
28,Malaysia,150,4,88,1 days 05:55:00.000000000
40,Greece,129,15,17,1 days 05:55:00.000000000
61,Morocco,123,3,13,1 days 05:55:00.000000000
56,Egypt,120,8,15,1 days 05:55:00.000000000
53,Croatia,115,5,31,1 days 05:55:00.000000000
46,Dominican Republic,108,8,0,1 days 05:55:00.000000000
50,Colombia,106,6,0,1 days 05:55:00.000000000
36,Indonesia,106,10,16,1 days 05:55:00.000000000
59,Iraq,106,2,57,1 days 05:55:00.000000000
76,North Macedonia,99,6,3,1 days 05:55:00.000000000
69,Tunisia,98,5,0,1 days 05:55:00.000000000
47,Iceland,98,0,112,1 days 05:55:00.000000000
15,South Korea,94,3,304,1 days 05:55:00.000000000
