,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,13004,277,734,0 days 12:31:00.000000000
5,France,7578,499,1517,0 days 12:31:00.000000000
2,Spain,6461,553,2479,0 days 12:31:00.000000000
1,Italy,4053,837,1109,0 days 12:31:00.000000000
6,Iran,3110,141,745,0 days 12:31:00.000000000
7,United Kingdom,3009,381,0,0 days 12:31:00.000000000
9,Turkey,2704,46,81,0 days 12:31:00.000000000
4,Germany,1295,37,2324,0 days 12:31:00.000000000
15,Portugal,1035,20,0,0 days 12:31:00.000000000
10,Belgium,876,192,169,0 days 12:31:00.000000000
11,Netherlands,845,175,0,0 days 12:31:00.000000000
14,Canada,732,6,48,0 days 12:31:00.000000000
31,Philippines,538,10,7,0 days 12:31:00.000000000
12,Austria,504,20,459,0 days 12:31:00.000000000
26,Russia,501,8,55,0 days 12:31:00.000000000
20,Sweden,407,34,0,0 days 12:31:00.000000000
25,Chile,289,4,0,0 days 12:31:00.000000000
23,Denmark,283,13,0,0 days 12:31:00.000000000
29,Ecuador,274,13,0,0 days 12:31:00.000000000
8,Switzerland,264,36,0,0 days 12:31:00.000000000
21,Czechia,256,8,20,0 days 12:31:00.000000000
27,Poland,256,2,0,0 days 12:31:00.000000000
42,Dominican Republic,208,9,1,0 days 12:31:00.000000000
19,Australia,198,0,93,0 days 12:31:00.000000000
33,Pakistan,197,5,0,0 days 12:31:00.000000000
30,Luxembourg,190,1,40,0 days 12:31:00.000000000
38,India,146,3,21,0 days 12:31:00.000000000
18,Norway,143,7,1,0 days 12:31:00.000000000
24,Malaysia,140,6,58,0 days 12:31:00.000000000
16,Israel,136,2,2,0 days 12:31:00.000000000
28,Romania,136,15,11,0 days 12:31:00.000000000
53,Algeria,132,9,9,0 days 12:31:00.000000000
34,Thailand,127,1,113,0 days 12:31:00.000000000
48,Serbia,115,7,0,0 days 12:31:00.000000000
45,Peru,115,0,0,0 days 12:31:00.000000000
36,Indonesia,114,14,6,0 days 12:31:00.000000000
35,Saudi Arabia,110,2,50,0 days 12:31:00.000000000
40,Greece,102,3,0,0 days 12:31:00.000000000
49,Croatia,77,0,0,0 days 12:31:00.000000000
57,Iraq,64,4,18,0 days 12:31:00.000000000
37,Finland,63,4,0,0 days 12:31:00.000000000
74,Moldova,55,2,3,0 days 12:31:00.000000000
17,Brazil,54,3,0,0 days 12:31:00.000000000
89,Cameroon,54,0,0,0 days 12:31:00.000000000
56,Egypt,54,5,7,0 days 12:31:00.000000000
3,China,54,0,12,0 days 12:31:00.000000000
59,United Arab Emirates,53,1,0,0 days 12:31:00.000000000
62,Bahrain,52,0,0,0 days 12:31:00.000000000
65,Armenia,50,0,0,0 days 12:31:00.000000000
41,Iceland,49,0,41,0 days 12:31:00.000000000
47,Singapore,47,0,12,0 days 12:31:00.000000000
50,Slovenia,46,4,0,0 days 12:31:00.000000000
64,Lithuania,46,1,0,0 days 12:31:00.000000000
61,Morocco,46,3,9,0 days 12:31:00.000000000
66,Hungary,45,1,3,0 days 12:31:00.000000000
77,North Macedonia,44,2,0,0 days 12:31:00.000000000
68,Bosnia and Herzegovina,43,2,0,0 days 12:31:00.000000000
107,Martinique,35,2,27,0 days 12:31:00.000000000
83,Cyprus,32,1,1,0 days 12:31:00.000000000
54,Hong Kong,31,0,10,0 days 12:31:00.000000000
52,Estonia,30,1,6,0 days 12:31:00.000000000
39,South Africa,27,0,0,0 days 12:31:00.000000000
72,Slovakia,27,0,-4,0 days 12:31:00.000000000
80,Azerbaijan,25,1,0,0 days 12:31:00.000000000
81,Kuwait,23,0,1,0 days 12:31:00.000000000
85,Reunion,23,0,0,0 days 12:31:00.000000000
94,Uzbekistan,22,0,0,0 days 12:31:00.000000000
70,Latvia,22,0,0,0 days 12:31:00.000000000
101,Sri Lanka,21,0,2,0 days 12:31:00.000000000
69,Bulgaria,20,0,0,0 days 12:31:00.000000000
86,Albania,20,4,8,0 days 12:31:00.000000000
111,Montenegro,18,1,0,0 days 12:31:00.000000000
67,Lebanon,17,1,2,0 days 12:31:00.000000000
115,DRC,17,0,0,0 days 12:31:00.000000000
91,Cuba,16,2,4,0 days 12:31:00.000000000
78,Taiwan,16,0,0,0 days 12:31:00.000000000
100,Mauritius,15,1,0,0 days 12:31:00.000000000
75,Kazakhstan,15,0,1,0 days 12:31:00.000000000
84,Burkina Faso,15,2,1,0 days 12:31:00.000000000
92,Senegal,13,0,13,0 days 12:31:00.000000000
112,Kyrgyzstan,13,0,0,0 days 12:31:00.000000000
90,Oman,13,0,5,0 days 12:31:00.000000000
96,Malta,13,0,0,0 days 12:31:00.000000000
138,Djibouti,12,0,0,0 days 12:31:00.000000000
116,Mayotte,12,1,0,0 days 12:31:00.000000000
128,Uganda,11,0,0,0 days 12:31:00.000000000
122,Isle of Man,11,0,0,0 days 12:31:00.000000000
98,Ghana,9,0,29,0 days 12:31:00.000000000
123,Kenya,9,0,0,0 days 12:31:00.000000000
