,Country/Region,Confirmed_diff,Deaths_diff,Recovered_diff,date_diff
0,US,7092,161,130,0 days 17:45:00.000000000
2,Spain,6297,722,2071,0 days 17:45:00.000000000
5,Iran,3186,117,1520,0 days 17:45:00.000000000
4,Germany,2765,70,0,0 days 17:45:00.000000000
9,Belgium,1063,82,168,0 days 17:45:00.000000000
10,Netherlands,884,93,0,0 days 17:45:00.000000000
8,Switzerland,697,33,228,0 days 17:45:00.000000000
12,Austria,634,22,157,0 days 17:45:00.000000000
14,Portugal,446,21,0,0 days 17:45:00.000000000
20,Sweden,328,36,0,0 days 17:45:00.000000000
25,Chile,310,1,81,0 days 17:45:00.000000000
31,Russia,302,1,2,0 days 17:45:00.000000000
19,Australia,279,2,18,0 days 17:45:00.000000000
24,Denmark,160,5,0,0 days 17:45:00.000000000
22,Malaysia,156,2,91,0 days 17:45:00.000000000
35,Saudi Arabia,154,0,49,0 days 17:45:00.000000000
42,Mexico,145,4,31,0 days 17:45:00.000000000
28,Romania,137,3,0,0 days 17:45:00.000000000
34,Thailand,136,2,132,0 days 17:45:00.000000000
36,Indonesia,129,8,11,0 days 17:45:00.000000000
33,Philippines,128,7,0,0 days 17:45:00.000000000
16,Norway,125,6,5,0 days 17:45:00.000000000
27,Poland,122,4,0,0 days 17:45:00.000000000
37,Finland,112,2,0,0 days 17:45:00.000000000
21,Czechia,103,1,0,0 days 17:45:00.000000000
17,Israel,100,1,2,0 days 17:45:00.000000000
43,Panama,88,7,0,0 days 17:45:00.000000000
3,China,84,7,350,0 days 17:45:00.000000000
11,South Korea,78,6,195,0 days 17:45:00.000000000
48,Croatia,77,0,15,0 days 17:45:00.000000000
15,Canada,77,2,65,0 days 17:45:00.000000000
58,New Zealand,75,0,7,0 days 17:45:00.000000000
47,Argentina,75,3,156,0 days 17:45:00.000000000
18,Brazil,74,4,114,0 days 17:45:00.000000000
79,Azerbaijan,64,0,11,0 days 17:45:00.000000000
65,Ukraine,62,2,1,0 days 17:45:00.000000000
95,Belarus,58,0,0,0 days 17:45:00.000000000
64,Armenia,58,0,0,0 days 17:45:00.000000000
32,Pakistan,53,6,0,0 days 17:45:00.000000000
60,Morocco,53,3,1,0 days 17:45:00.000000000
98,Cameroon,48,4,3,0 days 17:45:00.000000000
40,India,47,2,5,0 days 17:45:00.000000000
49,Serbia,44,3,0,0 days 17:45:00.000000000
56,United Arab Emirates,41,2,3,0 days 17:45:00.000000000
97,Channel Islands,41,0,0,0 days 17:45:00.000000000
66,Hungary,39,2,0,0 days 17:45:00.000000000
26,Luxembourg,38,1,0,0 days 17:45:00.000000000
51,Estonia,36,0,0,0 days 17:45:00.000000000
44,Singapore,35,0,16,0 days 17:45:00.000000000
29,Ecuador,34,1,0,0 days 17:45:00.000000000
70,Bosnia and Herzegovina,31,2,9,0 days 17:45:00.000000000
68,Latvia,29,0,0,0 days 17:45:00.000000000
100,Honduras,29,1,0,0 days 17:45:00.000000000
78,North Macedonia,26,1,9,0 days 17:45:00.000000000
50,Slovenia,26,0,0,0 days 17:45:00.000000000
91,Ivory Coast,25,1,1,0 days 17:45:00.000000000
63,Lithuania,24,0,0,0 days 17:45:00.000000000
71,Slovakia,22,0,5,0 days 17:45:00.000000000
92,Senegal,20,0,0,0 days 17:45:00.000000000
115,Mayotte,19,0,10,0 days 17:45:00.000000000
77,Kazakhstan,18,0,1,0 days 17:45:00.000000000
61,Bahrain,16,0,7,0 days 17:45:00.000000000
116,DRC,16,2,0,0 days 17:45:00.000000000
111,Bolivia,15,3,0,0 days 17:45:00.000000000
87,Vietnam,15,0,30,0 days 17:45:00.000000000
127,French Guiana,15,0,0,0 days 17:45:00.000000000
106,Nigeria,14,0,0,0 days 17:45:00.000000000
89,Oman,12,0,6,0 days 17:45:00.000000000
84,Albania,11,1,11,0 days 17:45:00.000000000
80,Kuwait,11,0,5,0 days 17:45:00.000000000
101,Venezuela,10,1,0,0 days 17:45:00.000000000
112,Kyrgyzstan,10,0,0,0 days 17:45:00.000000000
118,Rwanda,10,0,0,0 days 17:45:00.000000000
110,Georgia,9,0,0,0 days 17:45:00.000000000
90,Faeroe Islands,9,0,0,0 days 17:45:00.000000000
69,Bulgaria,8,0,1,0 days 17:45:00.000000000
122,Kenya,8,0,0,0 days 17:45:00.000000000
75,Taiwan,8,3,0,0 days 17:45:00.000000000
67,Lebanon,8,1,2,0 days 17:45:00.000000000
120,Paraguay,8,0,0,0 days 17:45:00.000000000
105,Palestine,7,0,0,0 days 17:45:00.000000000
138,Mali,7,1,0,0 days 17:45:00.000000000
134,Barbados,7,0,0,0 days 17:45:00.000000000
83,San Marino,6,3,7,0 days 17:45:00.000000000
114,Montenegro,6,0,0,0 days 17:45:00.000000000
121,Liechtenstein,6,0,0,0 days 17:45:00.000000000
131,Zambia,6,0,0,0 days 17:45:00.000000000
137,El Salvador,6,0,0,0 days 17:45:00.000000000
103,Sri Lanka,5,1,4,0 days 17:45:00.000000000
93,Malta,5,0,0,0 days 17:45:00.000000000
132,French Polynesia,5,0,0,0 days 17:45:00.000000000
174,Saint Kitts and Nevis,5,0,0,0 days 17:45:00.000000000
96,Uzbekistan,5,0,0,0 days 17:45:00.000000000
160,Saint Lucia,5,0,0,0 days 17:45:00.000000000
143,Tanzania,5,0,0,0 days 17:45:00.000000000
136,Togo,5,0,0,0 days 17:45:00.000000000
151,Myanmar,4,0,0,0 days 17:45:00.000000000
139,Ethiopia,4,0,0,0 days 17:45:00.000000000
147,Saint Martin,4,1,2,0 days 17:45:00.000000000
109,Guadeloupe,4,2,0,0 days 17:45:00.000000000
108,Cambodia,4,0,0,0 days 17:45:00.000000000
126,Isle of Man,4,0,0,0 days 17:45:00.000000000
140,Niger,4,2,0,0 days 17:45:00.000000000
155,Cayman Islands,4,0,0,0 days 17:45:00.000000000
150,Bahamas,3,0,0,0 days 17:45:00.000000000
125,Monaco,3,0,0,0 days 17:45:00.000000000
107,Mauritius,3,0,0,0 days 17:45:00.000000000
130,Guatemala,2,0,0,0 days 17:45:00.000000000
117,Trinidad and Tobago,2,0,0,0 days 17:45:00.000000000
180,Chad,2,0,0,0 days 17:45:00.000000000
133,Jamaica,2,0,0,0 days 17:45:00.000000000
102,Brunei,1,0,4,0 days 17:45:00.000000000
129,Macao,1,0,0,0 days 17:45:00.000000000
54,Hong Kong,1,0,0,0 days 17:45:00.000000000
124,Bangladesh,1,0,4,0 days 17:45:00.000000000
199,St. Vincent Grenadines,0,0,0,0 days 17:45:00.000000000
195,Belize,0,0,0,0 days 17:45:00.000000000
191,Liberia,0,0,0,0 days 17:45:00.000000000
192,CAR,0,0,0,0 days 17:45:00.000000000
193,MS Zaandam,0,0,0,0 days 17:45:00.000000000
194,Anguilla,0,0,0,0 days 17:45:00.000000000
157,Dominica,0,0,0,0 days 17:45:00.000000000
166,Laos,0,0,0,0 days 17:45:00.000000000
198,Papua New Guinea,0,0,0,0 days 17:45:00.000000000
165,Seychelles,0,0,0,0 days 17:45:00.000000000
196,British Virgin Islands,0,0,0,0 days 17:45:00.000000000
167,Guyana,0,0,0,0 days 17:45:00.000000000
163,Libya,0,0,0,0 days 17:45:00.000000000
158,Greenland,0,0,0,0 days 17:45:00.000000000
162,Grenada,0,0,0,0 days 17:45:00.000000000
197,Guinea-Bissau,0,0,0,0 days 17:45:00.000000000
159,Syria,0,0,0,0 days 17:45:00.000000000
161,Eswatini,0,0,0,0 days 17:45:00.000000000
164,Suriname,0,0,0,0 days 17:45:00.000000000
156,Namibia,0,0,0,0 days 17:45:00.000000000
190,Somalia,0,0,0,0 days 17:45:00.000000000
182,Montserrat,0,0,0,0 days 17:45:00.000000000
173,Antigua and Barbuda,0,0,0,0 days 17:45:00.000000000
175,Benin,0,0,0,0 days 17:45:00.000000000
176,Sint Maarten,0,0,0,0 days 17:45:00.000000000
177,Cabo Verde,0,0,0,0 days 17:45:00.000000000
178,Sudan,0,1,0,0 days 17:45:00.000000000
179,Vatican City,0,0,0,0 days 17:45:00.000000000
171,Gabon,0,0,0,0 days 17:45:00.000000000
181,Mauritania,0,0,2,0 days 17:45:00.000000000
183,St. Barth,0,0,0,0 days 17:45:00.000000000
189,Turks and Caicos,0,0,0,0 days 17:45:00.000000000
170,Angola,0,0,0,0 days 17:45:00.000000000
184,Nepal,0,0,0,0 days 17:45:00.000000000
185,Fiji,0,0,0,0 days 17:45:00.000000000
186,Gambia,0,0,0,0 days 17:45:00.000000000
169,Mozambique,0,0,0,0 days 17:45:00.000000000
187,Nicaragua,0,0,0,0 days 17:45:00.000000000
168,Curacao,0,0,0,0 days 17:45:00.000000000
188,Bhutan,0,0,0,0 days 17:45:00.000000000
172,Zimbabwe,0,0,0,0 days 17:45:00.000000000
53,Colombia,0,0,0,0 days 17:45:00.000000000
154,Eritrea,0,0,0,0 days 17:45:00.000000000
153,Equatorial Guinea,0,0,0,0 days 17:45:00.000000000
85,Burkina Faso,0,0,0,0 days 17:45:00.000000000
82,Jordan,0,1,0,0 days 17:45:00.000000000
81,Moldova,0,0,11,0 days 17:45:00.000000000
23,Ireland,0,0,0,0 days 17:45:00.000000000
76,Uruguay,0,0,0,0 days 17:45:00.000000000
74,Tunisia,0,0,0,0 days 17:45:00.000000000
73,Costa Rica,0,0,0,0 days 17:45:00.000000000
72,Andorra,0,0,5,0 days 17:45:00.000000000
30,Japan,0,0,0,0 days 17:45:00.000000000
38,South Africa,0,0,0,0 days 17:45:00.000000000
39,Greece,0,1,0,0 days 17:45:00.000000000
41,Iceland,0,0,21,0 days 17:45:00.000000000
45,Dominican Republic,0,0,0,0 days 17:45:00.000000000
62,Algeria,0,0,0,0 days 17:45:00.000000000
46,Peru,0,0,0,0 days 17:45:00.000000000
59,Iraq,0,0,0,0 days 17:45:00.000000000
57,Egypt,0,0,0,0 days 17:45:00.000000000
52,Diamond Princess,0,0,0,0 days 17:45:00.000000000
55,Qatar,0,0,0,0 days 17:45:00.000000000
86,Cyprus,0,1,0,0 days 17:45:00.000000000
88,Reunion,0,0,0,0 days 17:45:00.000000000
94,Ghana,0,0,0,0 days 17:45:00.000000000
135,Uganda,0,0,0,0 days 17:45:00.000000000
152,Mongolia,0,0,2,0 days 17:45:00.000000000
149,New Caledonia,0,0,0,0 days 17:45:00.000000000
148,Haiti,0,0,0,0 days 17:45:00.000000000
146,Guinea,0,0,0,0 days 17:45:00.000000000
145,Maldives,0,0,0,0 days 17:45:00.000000000
144,Djibouti,0,0,0,0 days 17:45:00.000000000
142,Congo,0,0,0,0 days 17:45:00.000000000
141,Bermuda,0,0,0,0 days 17:45:00.000000000
128,Madagascar,0,0,0,0 days 17:45:00.000000000
13,Turkey,0,0,0,0 days 17:45:00.000000000
123,Aruba,0,0,0,0 days 17:45:00.000000000
119,Gibraltar,0,0,0,0 days 17:45:00.000000000
113,Martinique,0,0,0,0 days 17:45:00.000000000
104,Afghanistan,0,0,0,0 days 17:45:00.000000000
1,Italy,0,0,0,0 days 17:45:00.000000000
99,Cuba,0,0,0,0 days 17:45:00.000000000
6,France,0,0,0,0 days 17:45:00.000000000
7,United Kingdom,0,0,0,0 days 17:45:00.000000000
200,Timor-Leste,0,0,0,0 days 17:45:00.000000000
