Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Eyibaolu,China,03/30/2020 09:35,67801,3186,62882.0
Di 欐 rot,China,03/30/2020 09:35,641,4,118.0
Right-version of the goo,China,03/30/2020 09:35,306,5,39.0
Juancongdaoning,China,03/30/2020 09:35,498,5,338.0
Zhenjianhanning,China,03/30/2020 09:35,577,8,415.0
Qiankuaminlu,China,03/30/2020 09:35,1484,8,1351.0
Fuhanhuanlu,China,03/30/2020 09:35,340,1,295.0
Still water ╂ touch Ning,China,03/30/2020 09:35,173,3,133.0
Xianlilielu,China,03/30/2020 09:35,1255,1,1225.0
Tick ​​pumping 棬,China,03/30/2020 09:35,38,0,10.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/30/2020 09:35,97,1,74.0
Chaxizhenlu,China,03/30/2020 09:35,645,0,631.0
Babianminlu,China,03/30/2020 09:35,773,7,753.0
Qiesikoulu,China,03/30/2020 09:35,550,3,536.0
Uushanmenlu,China,03/30/2020 09:35,138,2,125.0
Chajiemulu,China,03/30/2020 09:35,136,2,124.0
闄曡Ta鐪,China,03/30/2020 09:35,253,3,242.0
Beach 戝崡 鐪,China,03/30/2020 09:35,180,2,172.0
Lichongbaolu,China,03/30/2020 09:35,321,6,310.0
鍚夋 灄鐪,China,03/30/2020 09:35,98,1,92.0
Lichonghanlu,China,03/30/2020 09:35,1276,22,1251.0
Read 嶅 Jenning,China,03/30/2020 09:35,579,6,570.0
Ba Lu braid ta,China,03/30/2020 09:35,136,0,133.0
Zhenzhanxiecha Xiyan,China,03/30/2020 09:35,484,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/30/2020 09:35,254,2,250.0
Cha Xi Lu Tatari,China,03/30/2020 09:35,937,1,935.0
Ludiandanlu,China,03/30/2020 09:35,147,2,144.0
Eyihanlu,China,03/30/2020 09:35,1018,4,1014.0
Yuesuijionglu,China,03/30/2020 09:35,990,6,984.0
Xianfenghanlu,China,03/30/2020 09:35,168,6,162.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/30/2020 09:35,76,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/30/2020 09:35,75,0,75.0
Weishudaolu,China,03/30/2020 09:35,18,0,18.0
Yuan Cai hip Nielihuikui,China,03/30/2020 09:35,1,0,1.0
,,03/30/2020 09:35,Confirmed,Deaths,
,,03/30/2020 09:35,2840,22,
,,03/30/2020 09:35,1355,21,
,,03/30/2020 09:35,884,17,
,,03/30/2020 09:35,661,3,
,,03/30/2020 09:35,156,0,
,,03/30/2020 09:35,135,0,
,,03/30/2020 09:35,122,0,
,,03/30/2020 09:35,72,1,
,,03/30/2020 09:35,66,0,
Grand Princess,US,03/30/2020 09:35,13,0,
,,03/30/2020 09:35,11,0,
,,03/30/2020 09:35,4,0,
,,03/30/2020 09:35,1,0,
Diamond Princess,US,03/30/2020 09:35,0,1,
,,03/30/2020 09:35,Confirmed,Deaths,
Quebec,Canada,03/30/2020 09:35,2840,22,
Ontario,Canada,03/30/2020 09:35,1355,21,
British Columbia,Canada,03/30/2020 09:35,884,17,
Alberta,Canada,03/30/2020 09:35,661,3,
Saskatchewan,Canada,03/30/2020 09:35,156,0,
Newfoundland and Labrador,Canada,03/30/2020 09:35,135,0,
Nova Scotia,Canada,03/30/2020 09:35,122,0,
Manitoba,Canada,03/30/2020 09:35,72,1,
New Brunswick,Canada,03/30/2020 09:35,66,0,
Grand Princess,US,03/30/2020 09:35,13,0,
Prince Edward Island,Canada,03/30/2020 09:35,11,0,
Yukon,Canada,03/30/2020 09:35,4,0,
Northwest Territories,Canada,03/30/2020 09:35,1,0,
Diamond Princess,US,03/30/2020 09:35,0,1,
,US,03/30/2020 09:35,142735,2489,4562.0
,Italy,03/30/2020 09:35,97689,10779,13030.0
,Spain,03/30/2020 09:35,80110,6803,14709.0
,Germany,03/30/2020 09:35,62435,541,9211.0
,France,03/30/2020 09:35,40174,2606,7202.0
,Iran,03/30/2020 09:35,38309,2640,12391.0
,United Kingdom,03/30/2020 09:35,19522,1228,135.0
,Switzerland,03/30/2020 09:35,14944,300,1823.0
,Netherlands,03/30/2020 09:35,10866,771,250.0
Brussels,Belgium,03/30/2020 09:35,10836,431,1359.0
,South Korea,03/30/2020 09:35,9661,158,5228.0
,Turkey,03/30/2020 09:35,9217,131,105.0
,Austria,03/30/2020 09:35,8958,86,479.0
,Portugal,03/30/2020 09:35,5962,119,43.0
,Israel,03/30/2020 09:35,4347,15,134.0
,Norway,03/30/2020 09:35,4305,26,7.0
,Brazil,03/30/2020 09:35,4256,136,6.0
,Sweden,03/30/2020 09:35,3700,110,16.0
,Czechia,03/30/2020 09:35,2837,17,11.0
,Ireland,03/30/2020 09:35,2615,46,5.0
,Denmark,03/30/2020 09:35,2555,72,1.0
,Malaysia,03/30/2020 09:35,2470,35,388.0
,Chile,03/30/2020 09:35,2139,7,75.0
,Luxembourg,03/30/2020 09:35,1950,21,40.0
,Ecuador,03/30/2020 09:35,1924,58,3.0
,Poland,03/30/2020 09:35,1905,26,7.0
,Japan,03/30/2020 09:35,1866,54,424.0
,Romania,03/30/2020 09:35,1815,43,206.0
,Pakistan,03/30/2020 09:35,1625,18,29.0
,Philippines,03/30/2020 09:35,1546,78,42.0
,Russia,03/30/2020 09:35,1534,8,64.0
,Thailand,03/30/2020 09:35,1524,7,229.0
,Saudi Arabia,03/30/2020 09:35,1299,8,66.0
,Finland,03/30/2020 09:35,1286,11,10.0
,Indonesia,03/30/2020 09:35,1285,114,64.0
,South Africa,03/30/2020 09:35,1280,2,31.0
,Greece,03/30/2020 09:35,1156,39,52.0
,India,03/30/2020 09:35,1071,29,100.0
,Iceland,03/30/2020 09:35,1020,2,135.0
,Mexico,03/30/2020 09:35,993,20,35.0
,Panama,03/30/2020 09:35,989,24,4.0
,Dominican Republic,03/30/2020 09:35,859,39,3.0
,Peru,03/30/2020 09:35,852,18,16.0
,Singapore,03/30/2020 09:35,844,3,212.0
,Argentina,03/30/2020 09:35,820,20,91.0
,Serbia,03/30/2020 09:35,741,13,42.0
,Slovenia,03/30/2020 09:35,730,11,10.0
,Estonia,03/30/2020 09:35,715,3,20.0
,Croatia,03/30/2020 09:35,713,6,55.0
Yokohama,Japan,03/30/2020 09:35,712,10,603.0
,Colombia,03/30/2020 09:35,702,10,10.0
