Last Update,Country/Region,Province/State,Confirmed,Deaths,Recovered
04/02/2020 11:17,Macau,Macau,41,0,10
04/02/2020 11:17,El Salvador,,41,2,0
04/02/2020 11:17,French Polynesia,,37,0,0
04/02/2020 11:17,Togo,,36,2,10
04/02/2020 11:17,Zambia,,36,0,0
04/02/2020 11:17,Djibouti,,33,0,0
04/02/2020 11:17,Bermuda,,32,0,10
04/02/2020 11:17,Mali,,31,3,0
04/02/2020 11:17,Guinea,,30,0,0
04/02/2020 11:17,Ethiopia,,29,0,3
04/02/2020 11:17,Saint Martin,,22,1,2
04/02/2020 11:17,Cayman Islands,,22,1,0
04/02/2020 11:17,Congo,,22,2,0
04/02/2020 11:17,Bahamas,,21,1,1
04/02/2020 11:17,Tanzania,,20,1,1
04/02/2020 11:17,Guyana,,19,4,0
04/02/2020 11:17,Maldives,,19,0,13
04/02/2020 11:17,Gabon,,18,1,0
04/02/2020 11:17,Eritrea,,18,0,0
04/02/2020 11:17,New Caledonia,,18,0,1
04/02/2020 11:17,Haiti,,16,0,1
04/02/2020 11:17,Myanmar,,16,1,0
04/02/2020 11:17,Sint Maarten,,16,1,6
04/02/2020 11:17,Equatorial Guinea,,15,0,1
04/02/2020 11:17,Namibia,,14,0,2
04/02/2020 11:17,Mongolia,,14,0,2
04/02/2020 11:17,Saint Lucia,,13,0,1
04/02/2020 11:17,Benin,,13,0,1
04/02/2020 11:17,Dominica,,12,0,0
04/02/2020 11:17,Curacao,,11,1,3
04/02/2020 11:17,Libya,,10,0,0
04/02/2020 11:17,Suriname,,10,0,0
04/02/2020 11:17,Seychelles,,10,0,0
04/02/2020 11:17,Laos,,10,0,0
04/02/2020 11:17,Grenada,,10,0,0
04/02/2020 11:17,Greenland,,10,0,2
04/02/2020 11:17,Syria,,10,2,0
04/02/2020 11:17,Mozambique,,10,0,0
04/02/2020 11:17,MS Zaandam,,9,2,0
04/02/2020 11:17,Guinea-Bissau,,9,0,0
04/02/2020 11:17,Eswatini,,9,0,0
04/02/2020 11:17,Angola,,8,2,1
04/02/2020 11:17,Zimbabwe,,8,1,0
04/02/2020 11:17,Saint Kitts and Nevis,,8,0,0
04/02/2020 11:17,Chad,,7,0,0
04/02/2020 11:17,Fiji,,7,0,0
04/02/2020 11:17,Antigua and Barbuda,,7,0,0
04/02/2020 11:17,Sudan,,7,2,2
04/02/2020 11:17,St. Barth,,6,0,1
04/02/2020 11:17,Turks and Caicos,,6,0,0
04/02/2020 11:17,Cabo Verde,,6,1,0
04/02/2020 11:17,Liberia,,6,0,0
04/02/2020 11:17,Vatican City,,6,0,0
04/02/2020 11:17,Mauritania,,6,1,2
04/02/2020 11:17,Nicaragua,,5,1,0
04/02/2020 11:17,Nepal,,5,0,1
04/02/2020 11:17,Bhutan,,5,0,1
04/02/2020 11:17,Montserrat,,5,0,0
04/02/2020 11:17,Somalia,,5,0,1
04/02/2020 11:17,Botswana,,4,1,0
04/02/2020 11:17,Gambia,,4,1,2
04/02/2020 11:17,Belize,,3,0,0
04/02/2020 11:17,CAR,,3,0,0
04/02/2020 11:17,British Virgin Islands,,3,0,0
04/02/2020 11:17,Anguilla,,2,0,0
04/02/2020 11:17,Burundi,,2,0,0
04/02/2020 11:17,Caribbean Netherlands,,2,0,0
04/02/2020 11:17,St. Vincent Grenadines,,2,0,1
04/02/2020 11:17,Sierra Leone,,2,0,0
04/02/2020 11:17,Papua New Guinea,,1,0,0
04/02/2020 11:17,Timor-Leste,,1,0,0
