Last Update,Country/Region,Province/State,Confirmed,Deaths,Recovered
04/02/2020 12:26,Italy,,110574,13155,16847
04/02/2020 12:26,Spain,,110238,10003,26743
04/02/2020 12:26,Germany,,78115,944,19175
04/02/2020 12:26,France,,56989,4032,10935
04/02/2020 12:26,Iran,,50468,3160,16711
04/02/2020 12:26,United Kingdom,,29474,2352,135
04/02/2020 12:26,Switzerland,,18117,505,4013
04/02/2020 12:26,Turkey,,15679,277,333
04/02/2020 12:26,Belgium,Brussels,15348,1011,2495
04/02/2020 12:26,Netherlands,,13614,1173,250
04/02/2020 12:26,Austria,,10892,158,1749
04/02/2020 12:26,South Korea,,9976,169,5828
04/02/2020 12:26,Portugal,,8251,187,43
04/02/2020 12:26,Brazil,,6931,244,127
04/02/2020 12:26,Israel,,6211,33,289
04/02/2020 12:26,Sweden,,4947,239,103
04/02/2020 12:26,Norway,,4898,45,13
04/02/2020 12:26,Czechia,,3604,40,61
04/02/2020 12:26,Russia,,3548,30,235
04/02/2020 12:26,Ireland,,3447,85,5
04/02/2020 12:26,Denmark,,3355,123,1089
04/02/2020 12:26,Malaysia,,3116,50,767
04/02/2020 12:26,Chile,,3031,16,234
04/02/2020 12:26,Ecuador,,2758,98,58
04/02/2020 12:26,Romania,,2738,94,267
04/02/2020 12:26,Philippines,,2633,107,51
04/02/2020 12:26,Poland,,2633,45,56
04/02/2020 12:26,Japan,,2384,57,472
04/02/2020 12:26,Luxembourg,,2319,29,80
04/02/2020 12:26,Pakistan,,2291,31,107
04/02/2020 12:26,India,,2032,58,148
04/02/2020 12:26,Thailand,,1875,15,505
04/02/2020 12:26,Indonesia,,1790,170,112
04/02/2020 12:26,Saudi Arabia,,1720,16,264
04/02/2020 12:26,Finland,,1518,17,300
04/02/2020 12:26,Greece,,1415,51,52
04/02/2020 12:26,South Africa,,1380,5,50
04/02/2020 12:26,Mexico,,1378,37,35
04/02/2020 12:26,Peru,,1323,47,394
04/02/2020 12:26,Panama,,1317,32,9
04/02/2020 12:26,Dominican Republic,,1284,57,9
04/02/2020 12:26,Iceland,,1220,2,236
04/02/2020 12:26,Argentina,,1133,33,248
04/02/2020 12:26,Colombia,,1065,17,39
04/02/2020 12:26,Serbia,,1060,28,42
04/02/2020 12:26,Singapore,,1000,4,245
04/02/2020 12:26,Croatia,,963,6,73
04/02/2020 12:26,Slovenia,,897,16,10
04/02/2020 12:26,Estonia,,858,11,45
04/02/2020 12:26,Algeria,,847,58,61
04/02/2020 12:26,Qatar,,835,2,71
04/02/2020 12:26,United Arab Emirates,,814,8,61
04/02/2020 12:26,Ukraine,,804,20,13
04/02/2020 12:26,Hong Kong,Hong Kong,802,4,154
04/02/2020 12:26,New Zealand,,797,1,92
04/02/2020 12:26,Egypt,,779,52,179
04/02/2020 12:26,Iraq,,728,52,182
04/02/2020 12:26,Japan,Yokohama,712,11,619
04/02/2020 12:26,Morocco,,676,39,29
