Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,04/01/2020 16:05,84,,
New South Wales,Australia,04/01/2020 16:05,2182,,
Northern Territory,Australia,04/01/2020 16:05,18,,
Queensland,Australia,04/01/2020 16:05,781,,
South Australia,Australia,04/01/2020 16:05,367,,
Tasmania,Australia,04/01/2020 16:05,68,,
Victoria,Australia,04/01/2020 16:05,968,,
Western Australia,Australia,04/01/2020 16:05,392,,
New York,US,04/01/2020 16:05,76049,1714,
New Jersey,US,04/01/2020 16:05,18997,267,
California,US,04/01/2020 16:05,8584,183,
Michigan,US,04/01/2020 16:05,7615,259,
Florida,US,04/01/2020 16:05,6741,85,
Massachusetts,US,04/01/2020 16:05,6620,89,
Illinois,US,04/01/2020 16:05,5998,100,
WA,US,04/01/2020 16:05,5482,225,
Louisiana,US,04/01/2020 16:05,5237,239,
Pennsylvania,US,04/01/2020 16:05,4994,67,
Georgia,US,04/01/2020 16:05,4117,125,
Texas,US,04/01/2020 16:05,3925,59,
Connecticut,US,04/01/2020 16:05,3128,69,
Colorado,US,04/01/2020 16:05,2968,69,
Indiana,US,04/01/2020 16:05,2565,65,
Tennessee,US,04/01/2020 16:05,2391,23,
Ohio,US,04/01/2020 16:05,2199,55,
Maryland,US,04/01/2020 16:05,1986,31,
North Carolina,US,04/01/2020 16:05,1561,14,
Virginia,US,04/01/2020 16:05,1484,34,
Wisconsin,US,04/01/2020 16:05,1423,26,
Missouri,US,04/01/2020 16:05,1407,15,
Arizona,US,04/01/2020 16:05,1289,24,
Nevada,US,04/01/2020 16:05,1138,26,
South Carolina,US,04/01/2020 16:05,1083,22,
Alabama,US,04/01/2020 16:05,999,24,
Mississippi,US,04/01/2020 16:05,937,20,
Utah,US,04/01/2020 16:05,888,5,
Oregon,US,04/01/2020 16:05,692,18,
Kentucky,US,04/01/2020 16:05,632,18,
Minnesota,US,04/01/2020 16:05,629,12,
Oklahoma,US,04/01/2020 16:05,568,23,
Arkansas,US,04/01/2020 16:05,564,8,
Idaho,US,04/01/2020 16:05,525,9,
Washington DC,US,04/01/2020 16:05,507,9,
Iowa,US,04/01/2020 16:05,497,7,
Rhode Island,US,04/01/2020 16:05,488,8,
Kansas,US,04/01/2020 16:05,441,10,
New Hampshire,US,04/01/2020 16:05,367,3,
Delaware,US,04/01/2020 16:05,319,10,
New Mexico,US,04/01/2020 16:05,316,5,
Maine,US,04/01/2020 16:05,303,5,
Vermont,US,04/01/2020 16:05,293,13,
Puerto Rico,US,04/01/2020 16:05,286,11,
Hawaii,US,04/01/2020 16:05,224,1,
Montana,US,04/01/2020 16:05,208,5,
Nebraska,US,04/01/2020 16:05,177,4,
West Virginia,US,04/01/2020 16:05,162,1,
,,04/01/2020 16:05,148,5,
Alaska,US,04/01/2020 16:05,133,3,
North Dakota,US,04/01/2020 16:05,126,3,
Wyoming,US,04/01/2020 16:05,120,0,
South Dakota,US,04/01/2020 16:05,108,1,
Grand Princess,US,04/01/2020 16:05,103,3,
Guam,US,04/01/2020 16:05,77,2,
Diamond Princess,US,04/01/2020 16:05,49,0,
US Virgin Islands,US,04/01/2020 16:05,30,0,
,,04/01/2020 16:05,6,1,
Quebec,Canada,04/01/2020 16:05,4162,31,
Ontario,Canada,04/01/2020 16:05,1966,33,
British Columbia,Canada,04/01/2020 16:05,1013,24,
Alberta,Canada,04/01/2020 16:05,754,9,
Saskatchewan,Canada,04/01/2020 16:05,184,2,
Newfoundland and Labrador,Canada,04/01/2020 16:05,152,1,
Nova Scotia,Canada,04/01/2020 16:05,147,0,
Manitoba,Canada,04/01/2020 16:05,103,1,
New Brunswick,Canada,04/01/2020 16:05,70,0,
Prince Edward Island,Canada,04/01/2020 16:05,21,0,
Grand Princess,US,04/01/2020 16:05,13,0,
Yukon,Canada,04/01/2020 16:05,5,0,
Northwest Territories,Canada,04/01/2020 16:05,1,0,
Diamond Princess,US,04/01/2020 16:05,0,1,
,Italy,04/01/2020 16:05,105792,12428,15729.0
,Spain,04/01/2020 16:05,102136,9053,22647.0
,Germany,04/01/2020 16:05,74508,821,16100.0
,France,04/01/2020 16:05,52128,3523,9444.0
,Iran,04/01/2020 16:05,47593,3036,15473.0
,United Kingdom,04/01/2020 16:05,29474,2352,135.0
,Switzerland,04/01/2020 16:05,17137,461,2967.0
Brussels,Belgium,04/01/2020 16:05,13964,828,2132.0
,Netherlands,04/01/2020 16:05,13614,1173,250.0
,Turkey,04/01/2020 16:05,13531,214,243.0
,Austria,04/01/2020 16:05,10553,146,1436.0
,South Korea,04/01/2020 16:05,9887,165,5567.0
,Portugal,04/01/2020 16:05,8251,187,43.0
,Brazil,04/01/2020 16:05,5868,203,127.0
,Israel,04/01/2020 16:05,5591,23,226.0
,Sweden,04/01/2020 16:05,4947,239,16.0
,Norway,04/01/2020 16:05,4828,43,13.0
,Czechia,04/01/2020 16:05,3330,32,45.0
,Ireland,04/01/2020 16:05,3235,71,5.0
,Denmark,04/01/2020 16:05,3092,104,1.0
,Chile,04/01/2020 16:05,3031,16,234.0
,Malaysia,04/01/2020 16:05,2908,45,645.0
,Russia,04/01/2020 16:05,2777,24,190.0
,Romania,04/01/2020 16:05,2460,86,252.0
,Poland,04/01/2020 16:05,2420,36,7.0
