Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,Finland,04/05/2020 16:34,1927,28,300
,Serbia,04/05/2020 16:34,1908,51,54
,Mexico,04/05/2020 16:34,1890,79,633
,Panama,04/05/2020 16:34,1801,46,13
,Peru,04/05/2020 16:34,1746,73,914
,Dominican Republic,04/05/2020 16:34,1745,82,17
,Greece,04/05/2020 16:34,1735,73,78
,South Africa,04/05/2020 16:34,1585,9,95
,United Arab Emirates,04/05/2020 16:34,1505,10,125
,Iceland,04/05/2020 16:34,1486,4,428
,Argentina,04/05/2020 16:34,1451,44,279
,Colombia,04/05/2020 16:34,1406,32,85
,Qatar,04/05/2020 16:34,1325,3,109
,Singapore,04/05/2020 16:34,1309,6,297
,Algeria,04/05/2020 16:34,1251,130,90
,Ukraine,04/05/2020 16:34,1251,32,25
,Croatia,04/05/2020 16:34,1182,15,125
,Estonia,04/05/2020 16:34,1097,15,62
,Egypt,04/05/2020 16:34,1070,71,241
,New Zealand,04/05/2020 16:34,1039,1,156
,Slovenia,04/05/2020 16:34,997,28,79
,Morocco,04/05/2020 16:34,961,69,70
Hong Kong,Hong Kong,04/05/2020 16:34,890,4,206
,Iraq,04/05/2020 16:34,878,56,259
,Moldova,04/05/2020 16:34,864,15,30
,Armenia,04/05/2020 16:34,822,7,57
,Lithuania,04/05/2020 16:34,811,12,7
,Hungary,04/05/2020 16:34,733,34,66
Yokohama,Japan,04/05/2020 16:34,712,11,619
,Bahrain,04/05/2020 16:34,698,4,427
,Bosnia and Herzegovina,04/05/2020 16:34,654,21,30
,Azerbaijan,04/05/2020 16:34,584,5,32
,Kazakhstan,04/05/2020 16:34,569,6,36
,Belarus,04/05/2020 16:34,562,8,53
,Kuwait,04/05/2020 16:34,556,1,99
,North Macedonia,04/05/2020 16:34,555,18,23
,Cameroon,04/05/2020 16:34,555,9,17
,Tunisia,04/05/2020 16:34,553,19,5
,Latvia,04/05/2020 16:34,533,1,1
,Bulgaria,04/05/2020 16:34,531,20,37
,Lebanon,04/05/2020 16:34,527,18,54
,Andorra,04/05/2020 16:34,501,18,26
,Slovakia,04/05/2020 16:34,485,1,10
,Cyprus,04/05/2020 16:34,446,9,33
,Costa Rica,04/05/2020 16:34,435,2,13
,Uruguay,04/05/2020 16:34,400,5,93
Taiwan,Taiwan,04/05/2020 16:34,363,5,54
,Albania,04/05/2020 16:34,361,20,104
,Reunion,04/05/2020 16:34,344,0,40
,Afghanistan,04/05/2020 16:34,337,7,15
,Jordan,04/05/2020 16:34,323,5,74
,Burkina Faso,04/05/2020 16:34,318,16,66
,Oman,04/05/2020 16:34,298,2,61
,Uzbekistan,04/05/2020 16:34,298,2,30
,Cuba,04/05/2020 16:34,288,6,15
,Honduras,04/05/2020 16:34,268,22,6
,San Marino,04/05/2020 16:34,266,32,35
,Channel Islands,04/05/2020 16:34,262,5,13
,Ivory Coast,04/05/2020 16:34,245,1,25
,Vietnam,04/05/2020 16:34,241,0,90
,Mauritius,04/05/2020 16:34,227,7,7
,Malta,04/05/2020 16:34,227,0,2
,Palestine,04/05/2020 16:34,226,1,23
,Nigeria,04/05/2020 16:34,224,5,27
,Senegal,04/05/2020 16:34,222,2,82
,Ghana,04/05/2020 16:34,214,5,31
,Montenegro,04/05/2020 16:34,203,2,1
,Faeroe Islands,04/05/2020 16:34,181,0,99
,Sri Lanka,04/05/2020 16:34,174,5,29
,Georgia,04/05/2020 16:34,170,2,36
,Bolivia,04/05/2020 16:34,157,10,2
,Venezuela,04/05/2020 16:34,155,7,52
,DRC,04/05/2020 16:34,154,18,3
,Kyrgyzstan,04/05/2020 16:34,147,1,9
,Martinique,04/05/2020 16:34,145,3,27
,Niger,04/05/2020 16:34,144,8,0
,Kenya,04/05/2020 16:34,142,4,4
,Brunei,04/05/2020 16:34,135,1,73
,Guadeloupe,04/05/2020 16:34,134,7,24
