Last Update,Country/Region,Province/State,Confirmed,Deaths,Recovered
04/03/2020 11:34,Spain,,117710,10935,30513
04/03/2020 11:34,Italy,,115242,13915,18278
04/03/2020 11:34,Germany,,85063,1111,22440
04/03/2020 11:34,France,,59105,5387,12428
04/03/2020 11:34,Iran,,53183,3294,17935
04/03/2020 11:34,United Kingdom,,33718,2921,135
04/03/2020 11:34,Switzerland,,19106,565,4846
04/03/2020 11:34,Turkey,,18135,356,415
04/03/2020 11:34,Belgium,Brussels,16770,1143,2872
04/03/2020 11:34,Netherlands,,14697,1339,250
04/03/2020 11:34,Austria,,11251,168,2022
04/03/2020 11:34,South Korea,,10062,174,6021
04/03/2020 11:34,Portugal,,9034,209,68
04/03/2020 11:34,Brazil,,8066,327,127
04/03/2020 11:34,Israel,,7030,37,338
04/03/2020 11:34,Sweden,,5568,308,103
04/03/2020 11:34,Norway,,5255,54,32
04/03/2020 11:34,Russia,,4149,34,281
04/03/2020 11:34,Czechia,,3869,46,71
04/03/2020 11:34,Ireland,,3849,98,5
04/03/2020 11:34,Denmark,,3672,123,1089
04/03/2020 11:34,Chile,,3404,18,335
04/03/2020 11:34,Malaysia,,3333,53,827
04/03/2020 11:34,Romania,,3183,116,283
04/03/2020 11:34,Ecuador,,3163,120,65
04/03/2020 11:34,Poland,,3149,59,56
04/03/2020 11:34,Philippines,,3018,136,52
04/03/2020 11:34,Japan,,2617,63,472
04/03/2020 11:34,India,,2567,72,192
04/03/2020 11:34,Luxembourg,,2487,30,80
04/03/2020 11:34,Pakistan,,2450,35,126
04/03/2020 11:34,Indonesia,,1986,181,134
04/03/2020 11:34,Thailand,,1978,19,581
04/03/2020 11:34,Saudi Arabia,,1885,21,328
04/03/2020 11:34,Finland,,1615,19,300
04/03/2020 11:34,Greece,,1544,53,61
04/03/2020 11:34,Mexico,,1510,50,633
04/03/2020 11:34,Panama,,1475,37,9
04/03/2020 11:34,South Africa,,1462,5,95
04/03/2020 11:34,Peru,,1414,55,537
04/03/2020 11:34,Dominican Republic,,1380,60,16
04/03/2020 11:34,Iceland,,1319,4,284
04/03/2020 11:34,Argentina,,1265,37,256
04/03/2020 11:34,Serbia,,1171,31,42
04/03/2020 11:34,Colombia,,1161,19,55
04/03/2020 11:34,Singapore,,1114,5,266
04/03/2020 11:34,United Arab Emirates,,1024,8,96
04/03/2020 11:34,Croatia,,1011,7,88
04/03/2020 11:34,Algeria,,986,86,61
04/03/2020 11:34,Estonia,,961,12,48
04/03/2020 11:34,Qatar,,949,3,72
04/03/2020 11:34,Ukraine,,942,23,19
04/03/2020 11:34,Slovenia,,897,17,70
04/03/2020 11:34,New Zealand,,868,1,103
04/03/2020 11:34,Egypt,,865,58,201
04/03/2020 11:34,Hong Kong,Hong Kong,845,4,154
04/03/2020 11:34,Iraq,,772,54,202
04/03/2020 11:34,Armenia,,736,7,43
04/03/2020 11:34,Morocco,,735,47,49
04/03/2020 11:34,Japan,Yokohama,712,11,619
04/03/2020 11:34,Lithuania,,696,9,7
04/03/2020 11:34,Bahrain,,643,4,381
04/03/2020 11:34,Hungary,,623,26,43
04/03/2020 11:34,Bosnia and Herzegovina,,543,16,27
04/03/2020 11:34,Lebanon,,508,17,46
04/03/2020 11:34,Moldova,,505,6,23
04/03/2020 11:34,Latvia,,493,1,31
04/03/2020 11:34,Bulgaria,,477,12,30
04/03/2020 11:34,Tunisia,,455,14,5
04/03/2020 11:34,Kazakhstan,,453,3,29
04/03/2020 11:34,Slovakia,,450,1,5
04/03/2020 11:34,Azerbaijan,,443,5,32
04/03/2020 11:34,Andorra,,428,15,10
04/03/2020 11:34,Kuwait,,417,0,82
04/03/2020 11:34,Costa Rica,,396,2,6
04/03/2020 11:34,North Macedonia,,384,11,17
04/03/2020 11:34,Uruguay,,369,4,68
04/03/2020 11:34,Cyprus,,356,10,28
04/03/2020 11:34,Taiwan,Taiwan,348,5,50
04/03/2020 11:34,Reunion,,308,0,40
04/03/2020 11:34,Cameroon,,306,7,10
04/03/2020 11:34,Albania,,304,16,89
04/03/2020 11:34,Belarus,,304,4,53
04/03/2020 11:34,Jordan,,299,5,45
04/03/2020 11:34,Burkina Faso,,288,16,50
04/03/2020 11:34,Afghanistan,,273,6,10
04/03/2020 11:34,Oman,,252,1,57
04/03/2020 11:34,San Marino,,245,30,21
04/03/2020 11:34,Cuba,,233,6,13
04/03/2020 11:34,Vietnam,,233,0,85
04/03/2020 11:34,Honduras,,222,15,3
04/03/2020 11:34,Uzbekistan,,221,2,25
04/03/2020 11:34,Senegal,,207,1,66
04/03/2020 11:34,Ghana,,204,5,31
04/03/2020 11:34,Malta,,196,0,2
04/03/2020 11:34,Ivory Coast,,194,1,15
04/03/2020 11:34,Channel Islands,,193,3,0
