Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Australian Capital Territory,Australia,03/30/2020 07:42,77,,
New South Wales,Australia,03/30/2020 07:42,1918,,
Northern Territory,Australia,03/30/2020 07:42,14,,
Queensland,Australia,03/30/2020 07:42,656,,
South Australia,Australia,03/30/2020 07:42,287,,
Tasmania,Australia,03/30/2020 07:42,61,,
Victoria,Australia,03/30/2020 07:42,769,,
Western Australia,Australia,03/30/2020 07:42,311,,
Eyibaolu,China,03/30/2020 07:42,67801,3186,62882.0
Di 欐 rot,China,03/30/2020 07:42,641,4,118.0
Right-version of the goo,China,03/30/2020 07:42,298,3,39.0
Juancongdaoning,China,03/30/2020 07:42,498,5,338.0
Zhenjianhanning,China,03/30/2020 07:42,577,8,415.0
Qiankuaminlu,China,03/30/2020 07:42,1484,8,1351.0
Fuhanhuanlu,China,03/30/2020 07:42,340,1,295.0
Still water ╂ touch Ning,China,03/30/2020 07:42,169,3,133.0
Xianlilielu,China,03/30/2020 07:42,1255,1,1225.0
Tick ​​pumping 棬,China,03/30/2020 07:42,38,0,10.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/30/2020 07:42,97,1,74.0
Chaxizhenlu,China,03/30/2020 07:42,645,0,631.0
Babianminlu,China,03/30/2020 07:42,773,7,753.0
Qiesikoulu,China,03/30/2020 07:42,550,3,536.0
Uushanmenlu,China,03/30/2020 07:42,138,2,125.0
Chajiemulu,China,03/30/2020 07:42,136,2,124.0
闄曡Ta鐪,China,03/30/2020 07:42,253,3,242.0
Beach 戝崡 鐪,China,03/30/2020 07:42,180,2,172.0
Lichongbaolu,China,03/30/2020 07:42,321,6,310.0
鍚夋 灄鐪,China,03/30/2020 07:42,98,1,92.0
Lichonghanlu,China,03/30/2020 07:42,1276,22,1251.0
Read 嶅 Jenning,China,03/30/2020 07:42,579,6,570.0
Ba Lu braid ta,China,03/30/2020 07:42,136,0,133.0
Zhenzhanxiecha Xiyan,China,03/30/2020 07:42,484,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/30/2020 07:42,254,2,250.0
Cha Xi Lu Tatari,China,03/30/2020 07:42,937,1,935.0
Ludiandanlu,China,03/30/2020 07:42,147,2,144.0
Eyihanlu,China,03/30/2020 07:42,1018,4,1014.0
Yuesuijionglu,China,03/30/2020 07:42,990,6,984.0
Xianfenghanlu,China,03/30/2020 07:42,168,6,162.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/30/2020 07:42,76,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/30/2020 07:42,75,0,75.0
Weishudaolu,China,03/30/2020 07:42,18,0,18.0
Yuan Cai hip Nielihuikui,China,03/30/2020 07:42,1,0,1.0
,,03/30/2020 07:42,Confirmed,Deaths,
New York,US,03/30/2020 07:42,59746,966,
New Jersey,US,03/30/2020 07:42,13386,161,
California,US,03/30/2020 07:42,6345,132,
Michigan,US,03/30/2020 07:42,5489,132,
