Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,04/04/2020 07:31,91,,
New South Wales,Australia,04/04/2020 07:31,2493,,
Northern Territory,Australia,04/04/2020 07:31,21,,
Queensland,Australia,04/04/2020 07:31,873,,
South Australia,Australia,04/04/2020 07:31,396,,
Tasmania,Australia,04/04/2020 07:31,73,,
Victoria,Australia,04/04/2020 07:31,1085,,
Western Australia,Australia,04/04/2020 07:31,422,,
Eyibaolu,China,04/04/2020 07:31,67803,3207,63762
Di 欐 rot,China,04/04/2020 07:31,845,4,173
Right-version of the goo,China,04/04/2020 07:31,348,5,50
Juancongdaoning,China,04/04/2020 07:31,529,6,348
Zhenjianhanning,China,04/04/2020 07:31,585,8,438
Qiankuaminlu,China,04/04/2020 07:31,1516,8,1378
Fuhanhuanlu,China,04/04/2020 07:31,350,1,301
鍐呰 挋鍙 I 嚜娌 诲尯,China,04/04/2020 07:31,117,1,74
Still water ╂ touch Ning,China,04/04/2020 07:31,180,3,140
Tick ​​pumping 棬,China,04/04/2020 07:31,43,0,10
Xianlilielu,China,04/04/2020 07:31,1262,1,1229
Chaxizhenlu,China,04/04/2020 07:31,651,0,632
Babianminlu,China,04/04/2020 07:31,778,7,755
Qiesikoulu,China,04/04/2020 07:31,557,3,538
Chajiemulu,China,04/04/2020 07:31,141,2,125
Lichongbaolu,China,04/04/2020 07:31,326,6,310
Beach 戝崡 鐪,China,04/04/2020 07:31,184,2,172
Zhenzhanxiecha Xiyan,China,04/04/2020 07:31,491,13,469
闄曡Ta鐪,China,04/04/2020 07:31,256,3,245
Uushanmenlu,China,04/04/2020 07:31,138,2,131
鍚夋 灄鐪,China,04/04/2020 07:31,98,1,92
Ba Lu braid ta,China,04/04/2020 07:31,137,0,133
Lichonghanlu,China,04/04/2020 07:31,1276,22,1251
Read 嶅 Jenning,China,04/04/2020 07:31,579,6,570
Eyihanlu,China,04/04/2020 07:31,1019,4,1014
Cha Xi Lu Tatari,China,04/04/2020 07:31,937,1,935
Ludiandanlu,China,04/04/2020 07:31,147,2,144
Yuesuijionglu,China,04/04/2020 07:31,990,6,984
Qian hip Tatari Dan Zu Xi Meilihuikui,China,04/04/2020 07:31,254,2,252
Xianfenghanlu,China,04/04/2020 07:31,168,6,162
Koubanyuezi Cunyonghaobi Melihuikui,China,04/04/2020 07:31,76,3,73
Yuehuohanwu arrowhead Xi Melihuikui,China,04/04/2020 07:31,75,0,75
Weishudaolu,China,04/04/2020 07:31,18,0,18
Yuan Cai hip Nielihuikui,China,04/04/2020 07:31,1,0,1
,,,State,Location,News Reference
,World,04/04/2020 07:31,1118055,59203,229151
,Italy,04/04/2020 07:31,119827,14681,19758
,Spain,04/04/2020 07:31,119199,11198,30513
,Germany,04/04/2020 07:31,91159,1275,24575
,France,04/04/2020 07:31,82165,6507,14008
,Iran,04/04/2020 07:31,53183,3294,17935
,United Kingdom,04/04/2020 07:31,38168,3605,135
,Turkey,04/04/2020 07:31,20921,425,484
,Switzerland,04/04/2020 07:31,19606,591,4846
Brussels,Belgium,04/04/2020 07:31,16770,1143,2872
,Netherlands,04/04/2020 07:31,15723,1487,250
,Austria,04/04/2020 07:31,11525,168,2022
,South Korea,04/04/2020 07:31,10156,177,6325
,Portugal,04/04/2020 07:31,9886,246,68
,Brazil,04/04/2020 07:31,9216,365,127
,Israel,04/04/2020 07:31,7428,40,403
,Sweden,04/04/2020 07:31,6131,358,205
,Norway,04/04/2020 07:31,5370,59,32
,Ireland,04/04/2020 07:31,4273,120,25
,Czechia,04/04/2020 07:31,4190,53,72
,Russia,04/04/2020 07:31,4149,34,281
,Denmark,04/04/2020 07:31,3757,139,1193
,Chile,04/04/2020 07:31,3737,22,427
,Poland,04/04/2020 07:31,3383,71,56
,Ecuador,04/04/2020 07:31,3368,145,65
,Malaysia,04/04/2020 07:31,3333,53,827
,Romania,04/04/2020 07:31,3183,133,283
,India,04/04/2020 07:31,3082,86,229
,Philippines,04/04/2020 07:31,3018,136,52
,Japan,04/04/2020 07:31,2935,69,514
,Pakistan,04/04/2020 07:31,2708,40,130
,Luxembourg,04/04/2020 07:31,2612,31,500
,Thailand,04/04/2020 07:31,2067,20,612
,Saudi Arabia,04/04/2020 07:31,2039,25,351
,Indonesia,04/04/2020 07:31,1986,181,134
,Mexico,04/04/2020 07:31,1688,60,633
,Panama,04/04/2020 07:31,1673,41,10
,Finland,04/04/2020 07:31,1615,20,300
,Greece,04/04/2020 07:31,1613,63,78
,Peru,04/04/2020 07:31,1595,61,537
,South Africa,04/04/2020 07:31,1505,9,95
,Dominican Republic,04/04/2020 07:31,1488,68,16
,Serbia,04/04/2020 07:31,1476,39,54
,Iceland,04/04/2020 07:31,1364,4,309
,Argentina,04/04/2020 07:31,1353,42,266
,Colombia,04/04/2020 07:31,1267,25,55
,United Arab Emirates,04/04/2020 07:31,1264,9,108
,Algeria,04/04/2020 07:31,1171,105,62
,Singapore,04/04/2020 07:31,1114,6,282
,Croatia,04/04/2020 07:31,1079,8,92
,Qatar,04/04/2020 07:31,1075,3,93
,Ukraine,04/04/2020 07:31,1072,27,22
,Egypt,04/04/2020 07:31,985,66,216
,Estonia,04/04/2020 07:31,961,12,48
