Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Australian Capital Territory,Australia,03/31/2020 09:53,80,,
New South Wales,Australia,03/31/2020 09:53,2032,,
Northern Territory,Australia,03/31/2020 09:53,16,,
Queensland,Australia,03/31/2020 09:53,743,,
South Australia,Australia,03/31/2020 09:53,337,,
Tasmania,Australia,03/31/2020 09:53,68,,
Victoria,Australia,03/31/2020 09:53,917,,
Western Australia,Australia,03/31/2020 09:53,364,,
Eyibaolu,China,03/31/2020 09:53,67801,3187,63153.0
Di 欐 rot,China,03/31/2020 09:53,682,4,124.0
Right-version of the goo,China,03/31/2020 09:53,322,5,39.0
Juancongdaoning,China,03/31/2020 09:53,509,5,341.0
Zhenjianhanning,China,03/31/2020 09:53,580,8,418.0
Qiankuaminlu,China,03/31/2020 09:53,1490,8,1353.0
Fuhanhuanlu,China,03/31/2020 09:53,343,1,295.0
Still water ╂ touch Ning,China,03/31/2020 09:53,174,3,133.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/31/2020 09:53,107,1,74.0
Xianlilielu,China,03/31/2020 09:53,1257,1,1226.0
Tick ​​pumping 棬,China,03/31/2020 09:53,39,0,10.0
Chaxizhenlu,China,03/31/2020 09:53,646,0,631.0
Babianminlu,China,03/31/2020 09:53,774,7,753.0
Chajiemulu,China,03/31/2020 09:53,139,2,124.0
Qiesikoulu,China,03/31/2020 09:53,550,3,536.0
Uushanmenlu,China,03/31/2020 09:53,138,2,125.0
闄曡Ta鐪,China,03/31/2020 09:53,253,3,242.0
Beach 戝崡 鐪,China,03/31/2020 09:53,181,2,172.0
Lichongbaolu,China,03/31/2020 09:53,321,6,310.0
鍚夋 灄鐪,China,03/31/2020 09:53,98,1,92.0
Lichonghanlu,China,03/31/2020 09:53,1276,22,1251.0
Read 嶅 Jenning,China,03/31/2020 09:53,579,6,570.0
Ba Lu braid ta,China,03/31/2020 09:53,136,0,133.0
Zhenzhanxiecha Xiyan,China,03/31/2020 09:53,484,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/31/2020 09:53,254,2,250.0
Cha Xi Lu Tatari,China,03/31/2020 09:53,937,1,935.0
Ludiandanlu,China,03/31/2020 09:53,147,2,144.0
Eyihanlu,China,03/31/2020 09:53,1018,4,1014.0
Yuesuijionglu,China,03/31/2020 09:53,990,6,984.0
Xianfenghanlu,China,03/31/2020 09:53,168,6,162.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/31/2020 09:53,76,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/31/2020 09:53,75,0,75.0
Weishudaolu,China,03/31/2020 09:53,18,0,18.0
Yuan Cai hip Nielihuikui,China,03/31/2020 09:53,1,0,1.0
New York,US,03/31/2020 09:53,67384,1342,
New Jersey,US,03/31/2020 09:53,16636,198,
California,US,03/31/2020 09:53,7394,149,
Michigan,US,03/31/2020 09:53,6498,185,
Massachusetts,US,03/31/2020 09:53,5752,56,
Florida,US,03/31/2020 09:53,5704,71,
WA,US,03/31/2020 09:53,5187,219,
Illinois,US,03/31/2020 09:53,5058,74,
Pennsylvania,US,03/31/2020 09:53,4155,51,
Louisiana,US,03/31/2020 09:53,4025,185,
Texas,US,03/31/2020 09:53,3346,48,
Georgia,US,03/31/2020 09:53,3032,102,
Colorado,US,03/31/2020 09:53,2627,51,
Connecticut,US,03/31/2020 09:53,2571,36,
Tennessee,US,03/31/2020 09:53,1937,14,
Ohio,US,03/31/2020 09:53,1933,40,
Indiana,US,03/31/2020 09:53,1787,35,
Maryland,US,03/31/2020 09:53,1413,15,
North Carolina,US,03/31/2020 09:53,1379,8,
Wisconsin,US,03/31/2020 09:53,1285,24,
Arizona,US,03/31/2020 09:53,1158,20,
Missouri,US,03/31/2020 09:53,1122,13,
Nevada,US,03/31/2020 09:53,1044,18,
Virginia,US,03/31/2020 09:53,1020,25,
Alabama,US,03/31/2020 09:53,947,11,
South Carolina,US,03/31/2020 09:53,925,18,
Mississippi,US,03/31/2020 09:53,847,16,
Utah,US,03/31/2020 09:53,806,4,
Oregon,US,03/31/2020 09:53,606,16,
Minnesota,US,03/31/2020 09:53,576,10,
Arkansas,US,03/31/2020 09:53,508,7,
Washington DC,US,03/31/2020 09:53,495,9,
Oklahoma,US,03/31/2020 09:53,483,17,
Kentucky,US,03/31/2020 09:53,480,11,
Idaho,US,03/31/2020 09:53,431,8,
Iowa,US,03/31/2020 09:53,424,6,
Rhode Island,US,03/31/2020 09:53,408,4,
Kansas,US,03/31/2020 09:53,374,8,
New Hampshire,US,03/31/2020 09:53,314,3,
New Mexico,US,03/31/2020 09:53,281,4,
Maine,US,03/31/2020 09:53,275,3,
Delaware,US,03/31/2020 09:53,264,7,
Vermont,US,03/31/2020 09:53,256,12,
Hawaii,US,03/31/2020 09:53,204,0,
Montana,US,03/31/2020 09:53,177,5,
Puerto Rico,US,03/31/2020 09:53,174,7,
Nebraska,US,03/31/2020 09:53,153,3,
West Virginia,US,03/31/2020 09:53,145,1,
Alaska,US,03/31/2020 09:53,119,3,
North Dakota,US,03/31/2020 09:53,109,3,
Grand Princess,US,03/31/2020 09:53,103,3,
South Dakota,US,03/31/2020 09:53,101,1,
Wyoming,US,03/31/2020 09:53,95,0,
Guam,US,03/31/2020 09:53,58,1,
Diamond Princess,US,03/31/2020 09:53,49,0,
US Virgin Islands,US,03/31/2020 09:53,30,0,
,,03/31/2020 09:53,2,0,
Quebec,Canada,03/31/2020 09:53,3430,25,
Ontario,Canada,03/31/2020 09:53,1706,32,
