Province/State,Country/Region,Last Update,confirmed,deaths,recovered
,,03/28/2020 08:45,781,5,
,,03/28/2020 08:45,709,9,
,,03/28/2020 08:45,665,13,
,,03/28/2020 08:45,639,4,
,,03/28/2020 08:45,621,10,
,,03/28/2020 08:45,610,16,
,,03/28/2020 08:45,579,8,
,,03/28/2020 08:45,542,13,
,,03/28/2020 08:45,480,2,
,,03/28/2020 08:45,414,12,
,,03/28/2020 08:45,398,4,
,,03/28/2020 08:45,386,3,
,,03/28/2020 08:45,322,8,
,,03/28/2020 08:45,304,4,
,,03/28/2020 08:45,302,7,
,,03/28/2020 08:45,235,3,
,,03/28/2020 08:45,234,4,
,,03/28/2020 08:45,219,4,
,,03/28/2020 08:45,203,0,
,,03/28/2020 08:45,191,1,
,,03/28/2020 08:45,187,2,
,,03/28/2020 08:45,184,10,
,,03/28/2020 08:45,168,1,
,,03/28/2020 08:45,165,2,
,,03/28/2020 08:45,121,1,
,,03/28/2020 08:45,120,0,
Grand Princess,US,03/28/2020 08:45,103,3,
,,03/28/2020 08:45,96,0,
,,03/28/2020 08:45,90,2,
,,03/28/2020 08:45,85,,
,,03/28/2020 08:45,79,3,
,,03/28/2020 08:45,73,0,
,,03/28/2020 08:45,68,1,
,,03/28/2020 08:45,58,1,
,,03/28/2020 08:45,51,1,
Diamond Princess,US,03/28/2020 08:45,49,0,
,,03/28/2020 08:45,19,0,
,,03/28/2020 08:45,4,0,
,US,03/28/2020 08:45,104256,1704,2525.0
,Italy,03/28/2020 08:45,86498,9134,10950.0
,Spain,03/28/2020 08:45,65719,5138,9357.0
,Germany,03/28/2020 08:45,53340,395,6658.0
,France,03/28/2020 08:45,32964,1995,5700.0
,Iran,03/28/2020 08:45,32332,2378,11133.0
,United Kingdom,03/28/2020 08:45,14543,759,135.0
,Switzerland,03/28/2020 08:45,12928,231,1530.0
,South Korea,03/28/2020 08:45,9478,144,4811.0
,Netherlands,03/28/2020 08:45,8603,546,3.0
,Austria,03/28/2020 08:45,7712,58,225.0
Brussels,Belgium,03/28/2020 08:45,7284,289,858.0
,Turkey,03/28/2020 08:45,5698,92,42.0
,Portugal,03/28/2020 08:45,4268,76,43.0
,Norway,03/28/2020 08:45,3773,19,7.0
,Brazil,03/28/2020 08:45,3477,93,6.0
,Israel,03/28/2020 08:45,3460,12,89.0
,Sweden,03/28/2020 08:45,3069,105,16.0
,Czechia,03/28/2020 08:45,2279,9,11.0
,Malaysia,03/28/2020 08:45,2161,26,259.0
,Ireland,03/28/2020 08:45,2121,22,5.0
,Denmark,03/28/2020 08:45,2046,52,1.0
,Ecuador,03/28/2020 08:45,1627,41,3.0
,Chile,03/28/2020 08:45,1610,5,43.0
,Luxembourg,03/28/2020 08:45,1605,15,40.0
,Japan,03/28/2020 08:45,1499,49,372.0
,Poland,03/28/2020 08:45,1436,16,7.0
,Pakistan,03/28/2020 08:45,1408,11,25.0
,Romania,03/28/2020 08:45,1292,26,115.0
,Thailand,03/28/2020 08:45,1245,6,97.0
,South Africa,03/28/2020 08:45,1170,1,31.0
,Finland,03/28/2020 08:45,1165,7,10.0
,Saudi Arabia,03/28/2020 08:45,1104,3,35.0
,Indonesia,03/28/2020 08:45,1046,87,46.0
,Russia,03/28/2020 08:45,1036,4,45.0
,Greece,03/28/2020 08:45,966,28,52.0
,India,03/28/2020 08:45,908,20,83.0
,Iceland,03/28/2020 08:45,890,2,97.0
,Philippines,03/28/2020 08:45,803,54,31.0
,Panama,03/28/2020 08:45,786,14,2.0
,Singapore,03/28/2020 08:45,732,2,183.0
,Mexico,03/28/2020 08:45,717,12,4.0
Yokohama,Japan,03/28/2020 08:45,712,10,597.0
,Argentina,03/28/2020 08:45,690,17,72.0
