Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Australian Capital Territory,Australia,03/29/2020 19:22,77,,
New South Wales,Australia,03/29/2020 19:22,1791,,
Northern Territory,Australia,03/29/2020 19:22,14,,
Queensland,Australia,03/29/2020 19:22,656,,
South Australia,Australia,03/29/2020 19:22,287,,
Tasmania,Australia,03/29/2020 19:22,61,,
Victoria,Australia,03/29/2020 19:22,769,,
Western Australia,Australia,03/29/2020 19:22,311,,
Eyibaolu,China,03/29/2020 19:22,67801,3182,62570.0
Di 欐 rot,China,03/29/2020 19:22,641,4,112.0
Right-version of the goo,China,03/29/2020 19:22,298,2,30.0
Zhenjianhanning,China,03/29/2020 19:22,577,8,412.0
Juancongdaoning,China,03/29/2020 19:22,492,5,334.0
Qiankuaminlu,China,03/29/2020 19:22,1475,8,1349.0
Fuhanhuanlu,China,03/29/2020 19:22,338,1,295.0
Still water ╂ touch Ning,China,03/29/2020 19:22,166,3,133.0
Xianlilielu,China,03/29/2020 19:22,1254,1,1225.0
Tick ​​pumping 棬,China,03/29/2020 19:22,37,0,10.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/29/2020 19:22,95,1,74.0
Babianminlu,China,03/29/2020 19:22,772,7,752.0
Chaxizhenlu,China,03/29/2020 19:22,644,0,631.0
Qiesikoulu,China,03/29/2020 19:22,550,3,536.0
Uushanmenlu,China,03/29/2020 19:22,138,2,125.0
闄曡Ta鐪,China,03/29/2020 19:22,253,3,242.0
Chajiemulu,China,03/29/2020 19:22,134,2,124.0
Beach 戝崡 鐪,China,03/29/2020 19:22,180,2,172.0
鍚夋 灄鐪,China,03/29/2020 19:22,98,1,92.0
Lichonghanlu,China,03/29/2020 19:22,1276,22,1251.0
Read 嶅 Jenning,China,03/29/2020 19:22,579,6,570.0
Lichongbaolu,China,03/29/2020 19:22,319,6,310.0
Ba Lu braid ta,China,03/29/2020 19:22,136,0,133.0
Cha Xi Lu Tatari,China,03/29/2020 19:22,937,1,934.0
Zhenzhanxiecha Xiyan,China,03/29/2020 19:22,484,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/29/2020 19:22,254,2,250.0
Ludiandanlu,China,03/29/2020 19:22,147,2,144.0
Eyihanlu,China,03/29/2020 19:22,1018,4,1014.0
Yuesuijionglu,China,03/29/2020 19:22,990,6,984.0
Xianfenghanlu,China,03/29/2020 19:22,168,6,162.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/29/2020 19:22,76,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/29/2020 19:22,75,0,75.0
Weishudaolu,China,03/29/2020 19:22,18,0,18.0
Yuan Cai hip Nielihuikui,China,03/29/2020 19:22,1,0,1.0
,,03/29/2020 19:22,Confirmed,Deaths,
New York,US,03/29/2020 19:22,59513,965,
New Jersey,US,03/29/2020 19:22,13386,161,
California,US,03/29/2020 19:22,5723,122,
Michigan,US,03/29/2020 19:22,4659,112,
WA,US,03/29/2020 19:22,4319,189,
Massachusetts,US,03/29/2020 19:22,4257,44,
Florida,US,03/29/2020 19:22,4246,56,
Louisiana,US,03/29/2020 19:22,3540,151,
Illinois,US,03/29/2020 19:22,3491,47,
Pennsylvania,US,03/29/2020 19:22,3407,38,
Georgia,US,03/29/2020 19:22,2651,80,
Texas,US,03/29/2020 19:22,2564,36,
Colorado,US,03/29/2020 19:22,2063,44,
Connecticut,US,03/29/2020 19:22,1524,33,
Indiana,US,03/29/2020 19:22,1514,32,
Tennessee,US,03/29/2020 19:22,1512,7,
Ohio,US,03/29/2020 19:22,1406,25,
Maryland,US,03/29/2020 19:22,1239,10,
North Carolina,US,03/29/2020 19:22,1085,6,
Wisconsin,US,03/29/2020 19:22,1062,17,
Arizona,US,03/29/2020 19:22,919,17,
Virginia,US,03/29/2020 19:22,890,22,
Missouri,US,03/29/2020 19:22,849,11,
Alabama,US,03/29/2020 19:22,760,9,
Mississippi,US,03/29/2020 19:22,759,14,
Nevada,US,03/29/2020 19:22,738,14,
South Carolina,US,03/29/2020 19:22,660,15,
Utah,US,03/29/2020 19:22,604,2,
Minnesota,US,03/29/2020 19:22,503,5,
Oregon,US,03/29/2020 19:22,479,13,
Oklahoma,US,03/29/2020 19:22,431,16,
Arkansas,US,03/29/2020 19:22,421,5,
Kentucky,US,03/29/2020 19:22,403,9,
Washington DC,US,03/29/2020 19:22,342,5,
Iowa,US,03/29/2020 19:22,336,3,
Rhode Island,US,03/29/2020 19:22,294,2,
Kansas,US,03/29/2020 19:22,269,6,
Idaho,US,03/29/2020 19:22,265,5,
Maine,US,03/29/2020 19:22,253,1,
Vermont,US,03/29/2020 19:22,235,12,
New Hampshire,US,03/29/2020 19:22,214,2,
Delaware,US,03/29/2020 19:22,214,5,
New Mexico,US,03/29/2020 19:22,208,2,
Montana,US,03/29/2020 19:22,154,1,
Hawaii,US,03/29/2020 19:22,149,0,
Puerto Rico,US,03/29/2020 19:22,127,3,
West Virginia,US,03/29/2020 19:22,113,0,
Nebraska,US,03/29/2020 19:22,108,2,
Grand Princess,US,03/29/2020 19:22,103,3,
Alaska,US,03/29/2020 19:22,102,2,
North Dakota,US,03/29/2020 19:22,98,1,
South Dakota,US,03/29/2020 19:22,90,1,
