Last Update,Country/Region,Province/State,Confirmed,Deaths,Recovered
04/04/2020 18:24,World,,1172565,62811,242081
04/04/2020 18:24,Spain,,124736,11744,34219
04/04/2020 18:24,Italy,,124632,15362,20996
04/04/2020 18:24,Germany,,92150,1330,26400
04/04/2020 18:24,France,,82165,6507,14008
04/04/2020 18:24,Iran,,55743,3452,19736
04/04/2020 18:24,United Kingdom,,41903,4313,135
04/04/2020 18:24,Turkey,,23934,501,786
04/04/2020 18:24,Switzerland,,20278,641,4846
04/04/2020 18:24,Belgium,Brussels,18431,1283,3247
04/04/2020 18:24,Netherlands,,16627,1651,250
04/04/2020 18:24,Austria,,11781,186,2507
04/04/2020 18:24,Portugal,,10524,266,75
04/04/2020 18:24,South Korea,,10156,177,6325
04/04/2020 18:24,Brazil,,9391,376,127
04/04/2020 18:24,Israel,,7589,44,427
04/04/2020 18:24,Sweden,,6443,373,205
04/04/2020 18:24,Norway,,5550,62,32
04/04/2020 18:24,Russia,,4731,43,333
04/04/2020 18:24,Ireland,,4604,137,25
04/04/2020 18:24,Czechia,,4362,59,78
04/04/2020 18:24,Chile,,4161,27,528
04/04/2020 18:24,Denmark,,4077,161,1283
04/04/2020 18:24,Poland,,3627,79,116
04/04/2020 18:24,Romania,,3613,146,329
04/04/2020 18:24,Malaysia,,3483,57,915
04/04/2020 18:24,Ecuador,,3465,172,65
04/04/2020 18:24,Philippines,,3094,144,57
04/04/2020 18:24,India,,3082,86,229
04/04/2020 18:24,Japan,,2935,69,514
04/04/2020 18:24,Pakistan,,2818,41,131
04/04/2020 18:24,Luxembourg,,2729,31,500
04/04/2020 18:24,Saudi Arabia,,2179,29,420
04/04/2020 18:24,Indonesia,,2092,191,150
04/04/2020 18:24,Thailand,,2067,20,674
04/04/2020 18:24,Finland,,1882,25,300
04/04/2020 18:24,Mexico,,1688,60,633
04/04/2020 18:24,Greece,,1673,68,78
04/04/2020 18:24,Panama,,1673,41,13
04/04/2020 18:24,Serbia,,1624,44,54
