Country/Region,Confirmed,Deaths,Recovered,Last Update
US,83432,1554,4562,03/30/2020 14:42
Italy,97689,10779,13030,03/30/2020 14:42
Spain,85195,7340,16780,03/30/2020 14:42
China,82505,3313,75956,03/30/2020 14:42
Germany,63079,545,9211,03/30/2020 14:42
Iran,41495,2757,13911,03/30/2020 14:42
France,40174,2606,7202,03/30/2020 14:42
United Kingdom,19522,1228,135,03/30/2020 14:42
Switzerland,15526,333,1823,03/30/2020 14:42
Belgium,11899,513,1527,03/30/2020 14:42
Netherlands,11750,864,250,03/30/2020 14:42
South Korea,9661,158,5228,03/30/2020 14:42
Austria,9377,108,636,03/30/2020 14:42
Turkey,9217,131,105,03/30/2020 14:42
Portugal,6408,140,43,03/30/2020 14:42
Canada,3480,42,573,03/30/2020 14:42
Norway,4393,31,12,03/30/2020 14:42
Israel,4347,16,134,03/30/2020 14:42
Brazil,4330,140,120,03/30/2020 14:42
Australia,4245,18,244,03/30/2020 14:42
Sweden,4028,146,16,03/30/2020 14:42
Czechia,2878,17,11,03/30/2020 14:42
Malaysia,2626,37,479,03/30/2020 14:42
Ireland,2615,46,5,03/30/2020 14:42
Denmark,2555,77,1,03/30/2020 14:42
Chile,2449,8,156,03/30/2020 14:42
Luxembourg,1988,22,40,03/30/2020 14:42
Poland,1984,26,7,03/30/2020 14:42
Romania,1952,46,206,03/30/2020 14:42
Ecuador,1924,58,3,03/30/2020 14:42
Japan,1866,54,424,03/30/2020 14:42
Russia,1836,9,66,03/30/2020 14:42
Pakistan,1650,20,29,03/30/2020 14:42
Philippines,1546,78,42,03/30/2020 14:42
Thailand,1524,9,229,03/30/2020 14:42
Saudi Arabia,1453,8,66,03/30/2020 14:42
Indonesia,1414,122,75,03/30/2020 14:42
Finland,1352,13,10,03/30/2020 14:42
South Africa,1280,2,31,03/30/2020 14:42
Greece,1156,39,52,03/30/2020 14:42
India,1071,29,100,03/30/2020 14:42
Iceland,1020,2,135,03/30/2020 14:42
Mexico,993,20,35,03/30/2020 14:42
Panama,989,24,4,03/30/2020 14:42
Singapore,879,3,228,03/30/2020 14:42
Dominican Republic,859,39,3,03/30/2020 14:42
Peru,852,18,16,03/30/2020 14:42
Argentina,820,22,91,03/30/2020 14:42
Croatia,790,6,67,03/30/2020 14:42
Serbia,785,15,42,03/30/2020 14:42
Slovenia,756,11,10,03/30/2020 14:42
Estonia,715,3,20,03/30/2020 14:42
Diamond Princess,712,10,603,03/30/2020 14:42
Colombia,702,10,10,03/30/2020 14:42
Hong Kong,642,4,118,03/30/2020 14:42
Qatar,634,1,48,03/30/2020 14:42
United Arab Emirates,611,5,61,03/30/2020 14:42
Egypt,609,40,132,03/30/2020 14:42
New Zealand,589,1,63,03/30/2020 14:42
Iraq,547,42,143,03/30/2020 14:42
Morocco,516,29,14,03/30/2020 14:42
Bahrain,515,4,279,03/30/2020 14:42
Algeria,511,31,31,03/30/2020 14:42
Lithuania,484,7,1,03/30/2020 14:42
Armenia,482,3,30,03/30/2020 14:42
Ukraine,480,11,6,03/30/2020 14:42
Hungary,447,15,34,03/30/2020 14:42
Lebanon,446,11,32,03/30/2020 14:42
Latvia,376,0,1,03/30/2020 14:42
Bulgaria,354,8,15,03/30/2020 14:42
Bosnia and Herzegovina,354,8,17,03/30/2020 14:42
Slovakia,336,0,7,03/30/2020 14:42
Andorra,334,6,6,03/30/2020 14:42
Costa Rica,314,2,3,03/30/2020 14:42
Tunisia,312,8,2,03/30/2020 14:42
Taiwan,306,5,39,03/30/2020 14:42
Uruguay,304,1,0,03/30/2020 14:42
Kazakhstan,302,1,21,03/30/2020 14:42
North Macedonia,285,7,12,03/30/2020 14:42
Azerbaijan,273,4,26,03/30/2020 14:42
Kuwait,266,0,72,03/30/2020 14:42
Moldova,263,2,13,03/30/2020 14:42
Jordan,259,4,18,03/30/2020 14:42
San Marino,230,25,13,03/30/2020 14:42
Albania,223,11,44,03/30/2020 14:42
Burkina Faso,222,12,23,03/30/2020 14:42
Cyprus,214,6,15,03/30/2020 14:42
Vietnam,203,0,55,03/30/2020 14:42
Reunion,183,0,1,03/30/2020 14:42
Oman,179,0,29,03/30/2020 14:42
Faeroe Islands,168,0,70,03/30/2020 14:42
Ivory Coast,165,1,4,03/30/2020 14:42
Senegal,162,0,27,03/30/2020 14:42
Malta,156,0,2,03/30/2020 14:42
Ghana,152,5,2,03/30/2020 14:42
Belarus,152,0,32,03/30/2020 14:42
Uzbekistan,149,2,7,03/30/2020 14:42
Channel Islands,141,2,0,03/30/2020 14:42
Cameroon,139,6,5,03/30/2020 14:42
Cuba,139,3,4,03/30/2020 14:42
Honduras,139,3,3,03/30/2020 14:42
Venezuela,129,3,39,03/30/2020 14:42
Brunei,127,1,38,03/30/2020 14:42
Sri Lanka,122,2,15,03/30/2020 14:42
Afghanistan,120,4,2,03/30/2020 14:42
Palestine,115,1,18,03/30/2020 14:42
Nigeria,111,1,3,03/30/2020 14:42
Mauritius,110,3,0,03/30/2020 14:42
Cambodia,107,0,21,03/30/2020 14:42
Guadeloupe,106,4,17,03/30/2020 14:42
Georgia,100,0,18,03/30/2020 14:42
Bolivia,96,3,0,03/30/2020 14:42
Kyrgyzstan,94,0,0,03/30/2020 14:42
Martinique,93,1,0,03/30/2020 14:42
Montenegro,91,1,0,03/30/2020 14:42
Mayotte,82,0,10,03/30/2020 14:42
DRC,81,8,2,03/30/2020 14:42
Trinidad and Tobago,78,3,1,03/30/2020 14:42
Rwanda,70,0,0,03/30/2020 14:42
Gibraltar,65,0,14,03/30/2020 14:42
Paraguay,64,3,1,03/30/2020 14:42
Liechtenstein,62,0,0,03/30/2020 14:42
Kenya,50,1,1,03/30/2020 14:42
