Country/Region,Confirmed,Deaths,Recovered,Last Update
US,164656,3180,5507,03/31/2020 06:57
Italy,101739,11591,14620,03/31/2020 06:57
Spain,87956,7716,16780,03/31/2020 06:57
China,82547,3314,76227,03/31/2020 06:57
Germany,66885,645,13500,03/31/2020 06:57
France,44550,3024,7927,03/31/2020 06:57
Iran,41495,2757,13911,03/31/2020 06:57
United Kingdom,22141,1408,135,03/31/2020 06:57
Switzerland,15922,359,1823,03/31/2020 06:57
Belgium,11899,513,1527,03/31/2020 06:57
Netherlands,11750,864,250,03/31/2020 06:57
Turkey,10827,168,162,03/31/2020 06:57
South Korea,9786,162,5408,03/31/2020 06:57
Austria,9618,108,636,03/31/2020 06:57
Canada,7448,89,1114,03/31/2020 06:57
Portugal,6408,140,43,03/31/2020 06:57
Israel,4695,18,161,03/31/2020 06:57
Brazil,4661,165,127,03/31/2020 06:57
Australia,4359,19,244,03/31/2020 06:57
Norway,4462,32,12,03/31/2020 06:57
Sweden,4028,146,16,03/31/2020 06:57
Czechia,3001,23,25,03/31/2020 06:57
Ireland,2910,54,5,03/31/2020 06:57
Malaysia,2626,37,479,03/31/2020 06:57
Denmark,2577,77,1,03/31/2020 06:57
Chile,2449,8,156,03/31/2020 06:57
Romania,2109,65,209,03/31/2020 06:57
Poland,2055,31,7,03/31/2020 06:57
Luxembourg,1988,22,40,03/31/2020 06:57
Ecuador,1966,62,54,03/31/2020 06:57
Japan,1953,56,424,03/31/2020 06:57
Russia,1836,9,66,03/31/2020 06:57
Pakistan,1717,21,76,03/31/2020 06:57
Philippines,1546,78,42,03/31/2020 06:57
Thailand,1524,9,229,03/31/2020 06:57
Saudi Arabia,1453,8,115,03/31/2020 06:57
Indonesia,1414,122,75,03/31/2020 06:57
Finland,1355,13,10,03/31/2020 06:57
South Africa,1326,3,31,03/31/2020 06:57
India,1251,32,102,03/31/2020 06:57
Greece,1212,46,52,03/31/2020 06:57
Mexico,1094,28,35,03/31/2020 06:57
Iceland,1086,2,157,03/31/2020 06:57
Panama,1075,27,9,03/31/2020 06:57
Argentina,966,24,228,03/31/2020 06:57
Peru,950,24,53,03/31/2020 06:57
Dominican Republic,901,42,4,03/31/2020 06:57
Singapore,879,3,228,03/31/2020 06:57
Colombia,798,14,15,03/31/2020 06:57
Croatia,790,6,67,03/31/2020 06:57
Serbia,785,16,42,03/31/2020 06:57
Slovenia,756,11,10,03/31/2020 06:57
Estonia,715,3,20,03/31/2020 06:57
Diamond Princess,712,10,603,03/31/2020 06:57
Qatar,693,1,51,03/31/2020 06:57
Hong Kong,683,4,118,03/31/2020 06:57
Egypt,656,41,150,03/31/2020 06:57
New Zealand,647,1,74,03/31/2020 06:57
Iraq,630,46,152,03/31/2020 06:57
United Arab Emirates,611,5,61,03/31/2020 06:57
Algeria,584,35,37,03/31/2020 06:57
Morocco,556,33,15,03/31/2020 06:57
Ukraine,548,13,8,03/31/2020 06:57
Bahrain,515,4,295,03/31/2020 06:57
Lithuania,491,7,7,03/31/2020 06:57
Armenia,482,3,30,03/31/2020 06:57
Hungary,447,15,34,03/31/2020 06:57
Lebanon,446,11,35,03/31/2020 06:57
Latvia,376,0,1,03/31/2020 06:57
Andorra,370,8,10,03/31/2020 06:57
Bosnia and Herzegovina,368,10,17,03/31/2020 06:57
Tunisia,362,9,3,03/31/2020 06:57
Bulgaria,359,8,17,03/31/2020 06:57
Slovakia,336,0,7,03/31/2020 06:57
Costa Rica,330,2,4,03/31/2020 06:57
Kazakhstan,325,1,21,03/31/2020 06:57
Uruguay,320,1,25,03/31/2020 06:57
Taiwan,306,5,39,03/31/2020 06:57
Moldova,298,2,15,03/31/2020 06:57
North Macedonia,285,7,12,03/31/2020 06:57
Azerbaijan,273,4,26,03/31/2020 06:57
Jordan,268,5,26,03/31/2020 06:57
Kuwait,266,0,72,03/31/2020 06:57
Burkina Faso,246,12,31,03/31/2020 06:57
San Marino,230,25,13,03/31/2020 06:57
Cyprus,230,7,22,03/31/2020 06:57
Reunion,224,0,1,03/31/2020 06:57
Albania,223,11,44,03/31/2020 06:57
Vietnam,204,0,55,03/31/2020 06:57
Oman,179,0,29,03/31/2020 06:57
Afghanistan,170,4,2,03/31/2020 06:57
Cuba,170,4,4,03/31/2020 06:57
Faeroe Islands,168,0,70,03/31/2020 06:57
Ivory Coast,168,1,6,03/31/2020 06:57
Senegal,162,0,27,03/31/2020 06:57
Malta,156,0,2,03/31/2020 06:57
Ghana,152,5,2,03/31/2020 06:57
Belarus,152,0,32,03/31/2020 06:57
Uzbekistan,150,2,7,03/31/2020 06:57
Honduras,141,7,3,03/31/2020 06:57
Channel Islands,141,2,0,03/31/2020 06:57
Cameroon,139,6,5,03/31/2020 06:57
Venezuela,135,3,39,03/31/2020 06:57
Nigeria,131,2,8,03/31/2020 06:57
Mauritius,128,3,0,03/31/2020 06:57
Brunei,127,1,38,03/31/2020 06:57
Sri Lanka,122,2,15,03/31/2020 06:57
Palestine,117,1,18,03/31/2020 06:57
Cambodia,107,0,21,03/31/2020 06:57
Bolivia,107,6,0,03/31/2020 06:57
Guadeloupe,106,4,17,03/31/2020 06:57
Georgia,103,0,20,03/31/2020 06:57
Kyrgyzstan,94,0,3,03/31/2020 06:57
Martinique,93,1,0,03/31/2020 06:57
Montenegro,91,1,0,03/31/2020 06:57
Trinidad and Tobago,85,3,1,03/31/2020 06:57
Mayotte,82,0,10,03/31/2020 06:57
DRC,81,8,2,03/31/2020 06:57
Rwanda,70,0,0,03/31/2020 06:57
Gibraltar,69,0,34,03/31/2020 06:57
Paraguay,65,3,1,03/31/2020 06:57
Liechtenstein,62,0,0,03/31/2020 06:57
Kenya,50,1,1,03/31/2020 06:57
Aruba,50,0,1,03/31/2020 06:57
Bangladesh,49,5,19,03/31/2020 06:57
