Country/Region,Confirmed,Deaths,Recovered,Last Update
US,144732,2585,4574,03/30/2020 16:28
Italy,97689,10779,13030,03/30/2020 16:28
Spain,85195,7340,16780,03/30/2020 16:28
China,82505,3313,75956,03/30/2020 16:28
Germany,63929,560,9211,03/30/2020 16:28
Iran,41495,2757,13911,03/30/2020 16:28
France,40174,2606,7202,03/30/2020 16:28
United Kingdom,19522,1415,135,03/30/2020 16:28
Switzerland,15526,333,1823,03/30/2020 16:28
Belgium,11899,513,1527,03/30/2020 16:28
Netherlands,11750,864,250,03/30/2020 16:28
South Korea,9661,158,5228,03/30/2020 16:28
Austria,9377,108,636,03/30/2020 16:28
Turkey,9217,131,105,03/30/2020 16:28
Canada,6320,65,1014,03/30/2020 16:28
Portugal,6408,140,43,03/30/2020 16:28
Norway,4393,31,12,03/30/2020 16:28
Brazil,4362,141,120,03/30/2020 16:28
Israel,4347,16,134,03/30/2020 16:28
Australia,4245,18,244,03/30/2020 16:28
Sweden,4028,146,16,03/30/2020 16:28
Czechia,2896,17,11,03/30/2020 16:28
Malaysia,2626,37,479,03/30/2020 16:28
Ireland,2615,46,5,03/30/2020 16:28
Denmark,2555,77,1,03/30/2020 16:28
Chile,2449,8,156,03/30/2020 16:28
Luxembourg,1988,22,40,03/30/2020 16:28
Poland,1984,26,7,03/30/2020 16:28
Romania,1952,46,206,03/30/2020 16:28
Ecuador,1924,58,3,03/30/2020 16:28
Japan,1866,54,424,03/30/2020 16:28
Russia,1836,9,66,03/30/2020 16:28
Pakistan,1650,20,29,03/30/2020 16:28
Philippines,1546,78,42,03/30/2020 16:28
Thailand,1524,9,229,03/30/2020 16:28
Saudi Arabia,1453,8,115,03/30/2020 16:28
Indonesia,1414,122,75,03/30/2020 16:28
Finland,1352,13,10,03/30/2020 16:28
South Africa,1280,2,31,03/30/2020 16:28
Greece,1212,43,52,03/30/2020 16:28
Iceland,1086,2,157,03/30/2020 16:28
India,1071,29,100,03/30/2020 16:28
Mexico,993,20,35,03/30/2020 16:28
Panama,989,24,4,03/30/2020 16:28
Dominican Republic,901,42,4,03/30/2020 16:28
Singapore,879,3,228,03/30/2020 16:28
Peru,852,18,16,03/30/2020 16:28
Argentina,820,22,228,03/30/2020 16:28
Croatia,790,6,67,03/30/2020 16:28
Serbia,785,16,42,03/30/2020 16:28
Slovenia,756,11,10,03/30/2020 16:28
Estonia,715,3,20,03/30/2020 16:28
Diamond Princess,712,10,603,03/30/2020 16:28
Colombia,702,10,10,03/30/2020 16:28
Hong Kong,642,4,118,03/30/2020 16:28
Qatar,634,1,48,03/30/2020 16:28
United Arab Emirates,611,5,61,03/30/2020 16:28
Egypt,609,40,132,03/30/2020 16:28
New Zealand,589,1,63,03/30/2020 16:28
