Province/State,Confirmed,Deaths,Recovered,Country/Region,Last Update
,76,0,,,3/27/2020 14:23
,,1,,,3/27/2020 14:23
,58,0,,,3/27/2020 14:23
,56,0,,,3/27/2020 14:23
,,1,,,3/27/2020 14:23
Diamond Princess,49,0,0.0,US,3/27/2020 14:23
,46,1,,,3/27/2020 14:23
Grand Princess,28,3,0.0,US,3/27/2020 14:23
,17,0,,,3/27/2020 14:23
,4,0,,,3/27/2020 14:23
,80589,8215,10361.0,Italy,3/27/2020 14:23
,64059,4858,9357.0,Spain,3/27/2020 14:23
,47373,285,5673.0,Germany,3/27/2020 14:23
,32332,2378,11133.0,Iran,3/27/2020 14:23
,29155,1696,4948.0,France,3/27/2020 14:23
,12311,207,897.0,Switzerland,3/27/2020 14:23
,11658,578,135.0,UK,3/27/2020 14:23
,9332,139,4528.0,South Korea,3/27/2020 14:23
,8603,546,3.0,Netherlands,3/27/2020 14:23
,7393,58,225.0,Austria,3/27/2020 14:23
Brussels,7284,289,858.0,Belgium,3/27/2020 14:23
,4268,76,43.0,Portugal,3/27/2020 14:23
,3687,16,6.0,Norway,3/27/2020 14:23
,3629,75,26.0,Turkey,3/27/2020 14:23
,3046,92,16.0,Sweden,3/27/2020 14:23
,3035,11,79.0,Israel,3/27/2020 14:23
,2991,77,6.0,Brazil,3/27/2020 14:23
,2161,26,259.0,Malaysia,3/27/2020 14:23
,2062,9,11.0,Czechia,3/27/2020 14:23
,2010,52,1.0,Denmark,3/27/2020 14:23
,1819,19,5.0,Ireland,3/27/2020 14:23
,1610,5,22.0,Chile,3/27/2020 14:23
,1453,9,6.0,Luxembourg,3/27/2020 14:23
,1403,34,3.0,Ecuador,3/27/2020 14:23
,1387,47,359.0,Japan,3/27/2020 14:23
,1292,24,115.0,Romania,3/27/2020 14:23
,1289,16,7.0,Poland,3/27/2020 14:23
,1252,9,23.0,Pakistan,3/27/2020 14:23
,1136,5,97.0,Thailand,3/27/2020 14:23
,1104,3,35.0,Saudi Arabia,3/27/2020 14:23
,1046,87,46.0,Indonesia,3/27/2020 14:23
,1041,5,10.0,Finland,3/27/2020 14:23
,1036,3,45.0,Russia,3/27/2020 14:23
,927,2,12.0,South Africa,3/27/2020 14:23
,892,27,42.0,Greece,3/27/2020 14:23
,890,2,82.0,Iceland,3/27/2020 14:23
,863,20,73.0,India,3/27/2020 14:23
,803,54,31.0,Philippines,3/27/2020 14:23
Yokohama,712,10,597.0,Japan,3/27/2020 14:23
,683,2,172.0,Singapore,3/27/2020 14:23
,674,9,2.0,Panama,3/27/2020 14:23
,632,9,10.0,Slovenia,3/27/2020 14:23
,589,13,72.0,Argentina,3/27/2020 14:23
,585,8,4.0,Mexico,3/27/2020 14:23
,580,9,14.0,Peru,3/27/2020 14:23
,575,1,11.0,Estonia,3/27/2020 14:23
,551,3,37.0,Croatia,3/27/2020 14:23
,549,0,43.0,Qatar,3/27/2020 14:23
Hong Kong,518,4,111.0,Hong Kong,3/27/2020 14:23
,495,24,102.0,Egypt,3/27/2020 14:23
,491,6,8.0,Colombia,3/27/2020 14:23
,488,10,3.0,Dominican Republic,3/27/2020 14:23
,466,4,227.0,Bahrain,3/27/2020 14:23
,458,40,122.0,Iraq,3/27/2020 14:23
,457,8,15.0,Serbia,3/27/2020 14:23
,391,7,23.0,Lebanon,3/27/2020 14:23
,368,0,37.0,New Zealand,3/27/2020 14:23
,367,25,29.0,Algeria,3/27/2020 14:23
,345,5,1.0,Lithuania,3/27/2020 14:23
,333,2,52.0,United Arab Emirates,3/27/2020 14:23
,329,1,28.0,Armenia,3/27/2020 14:23
,300,10,34.0,Hungary,3/27/2020 14:23
,280,0,1.0,Latvia,3/27/2020 14:23
,276,3,9.0,Bulgaria,3/27/2020 14:23
,275,11,8.0,Morocco,3/27/2020 14:23
,269,0,2.0,Slovakia,3/27/2020 14:23
,267,3,1.0,Andorra,3/27/2020 14:23
Taiwan,267,2,30.0,Taiwan,3/27/2020 14:23
,238,0,0.0,Uruguay,3/27/2020 14:23
,231,2,2.0,Costa Rica,3/27/2020 14:23
,230,3,5.0,Bosnia and Herzegovina,3/27/2020 14:23
,227,6,2.0,Tunisia,3/27/2020 14:23
,226,5,5.0,Ukraine,3/27/2020 14:23
,225,0,57.0,Kuwait,3/27/2020 14:23
,219,3,3.0,North Macedonia,3/27/2020 14:23
,212,0,2.0,Jordan,3/27/2020 14:23
,208,21,4.0,San Marino,3/27/2020 14:23
,186,8,31.0,Albania,3/27/2020 14:23
,177,2,2.0,Moldova,3/27/2020 14:23
,163,0,20.0,Vietnam,3/27/2020 14:23
,152,7,10.0,Burkina Faso,3/27/2020 14:23
,146,3,4.0,Cyprus,3/27/2020 14:23
,144,0,54.0,Faeroe Islands,3/27/2020 14:23
,139,0,2.0,Malta,3/27/2020 14:23
,136,4,1.0,Ghana,3/27/2020 14:23
,135,1,3.0,Kazakhstan,3/27/2020 14:23
,135,0,1.0,Reunion,3/27/2020 14:23
,131,0,23.0,Oman,3/27/2020 14:23
,122,3,15.0,Azerbaijan,3/27/2020 14:23
,119,0,11.0,Senegal,3/27/2020 14:23
,115,0,11.0,Brunei,3/27/2020 14:23
