Country/Region,Confirmed,Deaths,Recovered,Province/State,Last Update
Jamaica,26,1,2,,03/27/2020 19:40
Madagascar,26,0,0,,03/27/2020 19:40
Togo,25,0,1,,03/27/2020 19:40
Barbados,24,0,0,,03/27/2020 19:40
Zambia,22,0,0,,03/27/2020 19:40
Uganda,18,0,0,,03/27/2020 19:40
Ethiopia,16,0,0,,03/27/2020 19:40
Maldives,16,0,9,,03/27/2020 19:40
Bermuda,15,0,2,,03/27/2020 19:40
New Caledonia,15,0,0,,03/27/2020 19:40
El Salvador,13,0,0,,03/27/2020 19:40
Tanzania,13,0,1,,03/27/2020 19:40
Djibouti,12,0,0,,03/27/2020 19:40
Equatorial Guinea,12,0,0,,03/27/2020 19:40
Dominica,11,0,0,,03/27/2020 19:40
Mali,11,0,0,,03/27/2020 19:40
Mongolia,11,0,0,,03/27/2020 19:40
Saint Martin,11,0,0,,03/27/2020 19:40
Niger,10,1,0,,03/27/2020 19:40
Greenland,10,0,2,,03/27/2020 19:40
Bahamas,9,0,1,,03/27/2020 19:40
Eswatini,9,0,0,,03/27/2020 19:40
Cayman Islands,8,1,0,,03/27/2020 19:40
Guinea,8,0,0,,03/27/2020 19:40
Haiti,8,0,0,,03/27/2020 19:40
Myanmar,8,0,0,,03/27/2020 19:40
Namibia,8,0,2,,03/27/2020 19:40
Suriname,8,0,0,,03/27/2020 19:40
Curacao,7,1,2,,03/27/2020 19:40
Gabon,7,1,0,,03/27/2020 19:40
Antigua and Barbuda,7,0,0,,03/27/2020 19:40
Grenada,7,0,0,,03/27/2020 19:40
Mozambique,7,0,0,,03/27/2020 19:40
Seychelles,7,0,0,,03/27/2020 19:40
Benin,6,0,0,,03/27/2020 19:40
Eritrea,6,0,0,,03/27/2020 19:40
Laos,6,0,0,,03/27/2020 19:40
Cabo Verde,5,1,0,,03/27/2020 19:40
Guyana,5,1,0,,03/27/2020 19:40
Zimbabwe,5,1,0,,03/27/2020 19:40
Fiji,5,0,0,,03/27/2020 19:40
Montserrat,5,0,0,,03/27/2020 19:40
St. Barth,5,0,0,,03/27/2020 19:40
Syria,5,0,0,,03/27/2020 19:40
Nepal,4,0,1,,03/27/2020 19:40
Angola,4,0,0,,03/27/2020 19:40
Congo,4,0,0,,03/27/2020 19:40
Vatican City,4,0,0,,03/27/2020 19:40
Gambia,3,1,0,,03/27/2020 19:40
Sudan,3,1,0,,03/27/2020 19:40
Bhutan,3,0,0,,03/27/2020 19:40
CAR,3,0,0,,03/27/2020 19:40
Chad,3,0,0,,03/27/2020 19:40
Liberia,3,0,0,,03/27/2020 19:40
Mauritania,3,0,0,,03/27/2020 19:40
Saint Lucia,3,0,1,,03/27/2020 19:40
Sint Maarten,3,0,0,,03/27/2020 19:40
Somalia,3,0,0,,03/27/2020 19:40
Nicaragua,2,1,0,,03/27/2020 19:40
Anguilla,2,0,0,,03/27/2020 19:40
Belize,2,0,0,,03/27/2020 19:40
British Virgin Islands,2,0,0,,03/27/2020 19:40
Guinea-Bissau,2,0,0,,03/27/2020 19:40
Saint Kitts and Nevis,2,0,0,,03/27/2020 19:40
Turks and Caicos,2,0,0,,03/27/2020 19:40
Libya,1,0,0,,03/27/2020 19:40
Papua New Guinea,1,0,0,,03/27/2020 19:40
St. Vincent Grenadines,1,0,0,,03/27/2020 19:40
Timor-Leste,1,0,0,,03/27/2020 19:40
