Country/Region,confirmed,deaths,recovered,Last Update
US,116448,1943,3224,03/28/2020 19:00
Italy,92472,10023,12384,03/28/2020 19:00
China,81394,3295,74971,03/28/2020 19:00
Spain,72248,5812,12285,03/28/2020 19:00
Germany,56202,403,6658,03/28/2020 19:00
France,37575,2314,5700,03/28/2020 19:00
Iran,35408,2517,11679,03/28/2020 19:00
United Kingdom,17089,1019,135,03/28/2020 19:00
Switzerland,13377,242,1530,03/28/2020 19:00
Netherlands,9762,639,3,03/28/2020 19:00
South Korea,9478,144,4811,03/28/2020 19:00
Belgium,9134,353,1063,03/28/2020 19:00
Austria,8188,68,225,03/28/2020 19:00
Turkey,7402,108,42,03/28/2020 19:00
Canada,5434,55,354,03/28/2020 19:00
Portugal,5170,100,43,03/28/2020 19:00
Norway,3981,22,7,03/28/2020 19:00
Australia,3635,14,170,03/28/2020 19:00
Israel,3619,12,89,03/28/2020 19:00
Brazil,3477,93,6,03/28/2020 19:00
Sweden,3447,105,16,03/28/2020 19:00
Czechia,2541,11,11,03/28/2020 19:00
Ireland,2415,36,5,03/28/2020 19:00
Malaysia,2320,27,320,03/28/2020 19:00
Denmark,2201,65,1,03/28/2020 19:00
Chile,1909,6,61,03/28/2020 19:00
Luxembourg,1831,18,40,03/28/2020 19:00
Ecuador,1823,48,3,03/28/2020 19:00
Japan,1499,49,404,03/28/2020 19:00
Poland,1481,17,7,03/28/2020 19:00
Romania,1452,30,139,03/28/2020 19:00
Pakistan,1420,12,29,03/28/2020 19:00
Russia,1264,4,49,03/28/2020 19:00
Thailand,1245,6,97,03/28/2020 19:00
Saudi Arabia,1203,4,37,03/28/2020 19:00
South Africa,1187,2,31,03/28/2020 19:00
Finland,1167,9,10,03/28/2020 19:00
Indonesia,1155,102,59,03/28/2020 19:00
Philippines,1075,68,35,03/28/2020 19:00
Greece,1061,32,52,03/28/2020 19:00
Iceland,963,2,114,03/28/2020 19:00
India,933,20,84,03/28/2020 19:00
Singapore,802,2,198,03/28/2020 19:00
Panama,786,14,2,03/28/2020 19:00
Dominican Republic,719,28,3,03/28/2020 19:00
Mexico,717,12,4,03/28/2020 19:00
Diamond Princess,712,10,597,03/28/2020 19:00
Argentina,690,17,72,03/28/2020 19:00
Slovenia,684,9,10,03/28/2020 19:00
Peru,671,16,16,03/28/2020 19:00
Serbia,659,10,42,03/28/2020 19:00
Croatia,657,5,45,03/28/2020 19:00
Estonia,645,1,20,03/28/2020 19:00
Colombia,608,6,10,03/28/2020 19:00
Qatar,590,1,45,03/28/2020 19:00
Egypt,576,36,121,03/28/2020 19:00
Hong Kong,560,4,112,03/28/2020 19:00
Iraq,506,42,131,03/28/2020 19:00
Bahrain,476,4,265,03/28/2020 19:00
UAE,468,2,52,03/28/2020 19:00
Algeria,454,29,29,03/28/2020 19:00
New Zealand,451,0,50,03/28/2020 19:00
Lebanon,412,8,30,03/28/2020 19:00
Armenia,407,1,30,03/28/2020 19:00
Lithuania,382,5,1,03/28/2020 19:00
Morocco,359,24,11,03/28/2020 19:00
Hungary,343,11,34,03/28/2020 19:00
Bulgaria,331,6,11,03/28/2020 19:00
Ukraine,311,8,5,03/28/2020 19:00
Andorra,308,3,1,03/28/2020 19:00
Latvia,305,0,1,03/28/2020 19:00
Slovakia,292,0,2,03/28/2020 19:00
Taiwan,283,2,30,03/28/2020 19:00
Uruguay,274,0,0,03/28/2020 19:00
Costa Rica,263,2,3,03/28/2020 19:00
Bosnia and Herzegovina,258,5,5,03/28/2020 19:00
Jordan,246,1,18,03/28/2020 19:00
North Macedonia,241,4,3,03/28/2020 19:00
Kuwait,235,0,64,03/28/2020 19:00
Moldova,231,2,2,03/28/2020 19:00
Kazakhstan,228,1,16,03/28/2020 19:00
Tunisia,227,7,2,03/28/2020 19:00
San Marino,224,22,6,03/28/2020 19:00
Burkina Faso,207,11,21,03/28/2020 19:00
Albania,197,10,31,03/28/2020 19:00
Réunion,183,0,1,03/28/2020 19:00
Azerbaijan,182,4,15,03/28/2020 19:00
Cyprus,179,5,15,03/28/2020 19:00
Vietnam,174,0,21,03/28/2020 19:00
Faeroe Islands,155,0,54,03/28/2020 19:00
Oman,152,0,23,03/28/2020 19:00
Malta,149,0,2,03/28/2020 19:00
Ghana,141,5,2,03/28/2020 19:00
Senegal,130,0,18,03/28/2020 19:00
Brunei,120,1,25,03/28/2020 19:00
Cuba,119,3,4,03/28/2020 19:00
Venezuela,113,2,39,03/28/2020 19:00
Sri Lanka,113,1,9,03/28/2020 19:00
Afghanistan,110,4,2,03/28/2020 19:00
Uzbekistan,104,2,5,03/28/2020 19:00
Mauritius,102,2,0,03/28/2020 19:00
Guadeloupe,102,2,17,03/28/2020 19:00
Ivory Coast,101,0,3,03/28/2020 19:00
Cambodia,99,0,13,03/28/2020 19:00
Palestine,97,1,18,03/28/2020 19:00
Channel Islands,97,1,0,03/28/2020 19:00
Honduras,95,1,3,03/28/2020 19:00
Belarus,94,0,32,03/28/2020 19:00
Martinique,93,1,0,03/28/2020 19:00
Cameroon,91,2,2,03/28/2020 19:00
Georgia,90,0,14,03/28/2020 19:00
Nigeria,89,1,3,03/28/2020 19:00
Montenegro,82,1,0,03/28/2020 19:00
Trinidad and Tobago,74,2,1,03/28/2020 19:00
Bolivia,74,0,0,03/28/2020 19:00
DRC,65,6,2,03/28/2020 19:00
Mayotte,63,0,0,03/28/2020 19:00
Rwanda,60,0,0,03/28/2020 19:00
Kyrgyzstan,58,0,0,03/28/2020 19:00
Gibraltar,56,0,14,03/28/2020 19:00
Liechtenstein,56,0,0,03/28/2020 19:00
Paraguay,56,3,1,03/28/2020 19:00
Bangladesh,48,5,15,03/28/2020 19:00
Aruba,46,0,1,03/28/2020 19:00
Monaco,42,0,1,03/28/2020 19:00
Kenya,38,1,1,03/28/2020 19:00
Macao,34,0,10,03/28/2020 19:00
Guatemala,32,1,4,03/28/2020 19:00
Isle of Man,32,0,0,03/28/2020 19:00
French Polynesia,30,0,0,03/28/2020 19:00
Jamaica,30,1,2,03/28/2020 19:00
Zambia,28,0,0,03/28/2020 19:00
French Guiana,28,0,6,03/28/2020 19:00
Madagascar,26,0,0,03/28/2020 19:00
Barbados,26,0,0,03/28/2020 19:00
Togo,25,1,1,03/28/2020 19:00
Uganda,23,0,0,03/28/2020 19:00
El Salvador,19,0,0,03/28/2020 19:00
Mali,18,0,0,03/28/2020 19:00
Bermuda,17,0,2,03/28/2020 19:00
Ethiopia,16,0,1,03/28/2020 19:00
Maldives,16,0,9,03/28/2020 19:00
New Caledonia,15,0,0,03/28/2020 19:00
Tanzania,13,0,1,03/28/2020 19:00
Djibouti,12,0,0,03/28/2020 19:00
Equatorial Guinea,12,0,0,03/28/2020 19:00
Mongolia,12,0,0,03/28/2020 19:00
Dominica,11,0,0,03/28/2020 19:00
Saint Martin,11,0,0,03/28/2020 19:00
Niger,10,1,0,03/28/2020 19:00
Bahamas,10,0,1,03/28/2020 19:00
Greenland,10,0,2,03/28/2020 19:00
Eswatini,9,0,0,03/28/2020 19:00
Curaçao,8,1,2,03/28/2020 19:00
Myanmar,8,0,0,03/28/2020 19:00
Guyana,8,1,0,03/28/2020 19:00
Suriname,8,0,0,03/28/2020 19:00
Namibia,8,0,2,03/28/2020 19:00
Cayman Islands,8,1,0,03/28/2020 19:00
Mozambique,8,0,0,03/28/2020 19:00
Haiti,8,0,0,03/28/2020 19:00
Laos,8,0,0,03/28/2020 19:00
Guinea,8,0,0,03/28/2020 19:00
Gabon,7,1,0,03/28/2020 19:00
Zimbabwe,7,1,0,03/28/2020 19:00
Antigua and Barbuda,7,0,0,03/28/2020 19:00
Grenada,7,0,0,03/28/2020 19:00
Seychelles,7,0,0,03/28/2020 19:00
Benin,6,0,0,03/28/2020 19:00
Eritrea,6,0,0,03/28/2020 19:00
Vatican City,6,0,0,03/28/2020 19:00
Mauritania,5,0,0,03/28/2020 19:00
St. Barth,5,0,0,03/28/2020 19:00
Montserrat,5,0,0,03/28/2020 19:00
Syria,5,0,0,03/28/2020 19:00
Fiji,5,0,0,03/28/2020 19:00
Cabo Verde,5,1,0,03/28/2020 19:00
Sudan,5,1,0,03/28/2020 19:00
Nepal,5,0,1,03/28/2020 19:00
Congo,4,0,0,03/28/2020 19:00
Angola,4,0,0,03/28/2020 19:00
Nicaragua,4,1,0,03/28/2020 19:00
Libya,3,0,0,03/28/2020 19:00
Gambia,3,1,0,03/28/2020 19:00
Somalia,3,0,0,03/28/2020 19:00
Saint Lucia,3,0,1,03/28/2020 19:00
Sint Maarten,3,0,0,03/28/2020 19:00
Liberia,3,0,0,03/28/2020 19:00
Chad,3,0,0,03/28/2020 19:00
CAR,3,0,0,03/28/2020 19:00
Bhutan,3,0,0,03/28/2020 19:00
Anguilla,2,0,0,03/28/2020 19:00
Belize,2,0,0,03/28/2020 19:00
British Virgin Islands,2,0,0,03/28/2020 19:00
Guinea-Bissau,2,0,0,03/28/2020 19:00
Saint Kitts and Nevis,2,0,0,03/28/2020 19:00
Turks and Caicos,2,0,0,03/28/2020 19:00
MS Zaandam,2,0,0,03/28/2020 19:00
