Country/Region,confirmed,deaths,recovered,Last Update
US,123780,2229,3238,03/29/2020 10:18
Italy,92472,10023,12384,03/29/2020 10:18
China,81439,3300,75448,03/29/2020 10:18
Spain,73235,5982,12285,03/29/2020 10:18
Germany,58247,455,8481,03/29/2020 10:18
France,37575,2314,5700,03/29/2020 10:18
Iran,35408,2517,11679,03/29/2020 10:18
United Kingdom,17089,1019,135,03/29/2020 10:18
Switzerland,14076,264,1595,03/29/2020 10:18
Belgium,10836,431,1359,03/29/2020 10:18
Netherlands,9762,639,3,03/29/2020 10:18
South Korea,9583,152,5033,03/29/2020 10:18
Austria,8395,68,225,03/29/2020 10:18
Turkey,7402,108,70,03/29/2020 10:18
Canada,5655,60,508,03/29/2020 10:18
Portugal,5170,100,43,03/29/2020 10:18
Norway,4043,23,7,03/29/2020 10:18
Australia,3969,16,226,03/29/2020 10:18
Brazil,3904,114,6,03/29/2020 10:18
Israel,3865,12,89,03/29/2020 10:18
Sweden,3447,105,16,03/29/2020 10:18
Czechia,2669,13,11,03/29/2020 10:18
Ireland,2415,36,5,03/29/2020 10:18
Malaysia,2320,27,320,03/29/2020 10:18
Denmark,2201,65,1,03/29/2020 10:18
Chile,1909,6,61,03/29/2020 10:18
Luxembourg,1831,18,40,03/29/2020 10:18
Ecuador,1823,48,3,03/29/2020 10:18
Poland,1717,19,7,03/29/2020 10:18
Japan,1693,52,404,03/29/2020 10:18
Russia,1534,8,64,03/29/2020 10:18
Pakistan,1526,13,29,03/29/2020 10:18
Romania,1452,37,139,03/29/2020 10:18
Philippines,1418,71,42,03/29/2020 10:18
Thailand,1388,7,97,03/29/2020 10:18
Indonesia,1285,114,64,03/29/2020 10:18
Finland,1221,9,10,03/29/2020 10:18
Saudi Arabia,1203,4,37,03/29/2020 10:18
South Africa,1187,1,31,03/29/2020 10:18
Greece,1061,32,52,03/29/2020 10:18
India,987,25,87,03/29/2020 10:18
Iceland,963,2,114,03/29/2020 10:18
Panama,901,17,4,03/29/2020 10:18
Mexico,848,16,4,03/29/2020 10:18
Singapore,802,3,198,03/29/2020 10:18
Argentina,745,19,72,03/29/2020 10:18
Dominican Republic,719,28,3,03/29/2020 10:18
Diamond Princess,712,10,597,03/29/2020 10:18
Slovenia,684,9,10,03/29/2020 10:18
Peru,671,16,16,03/29/2020 10:18
Serbia,659,11,42,03/29/2020 10:18
Croatia,657,5,45,03/29/2020 10:18
Estonia,645,1,20,03/29/2020 10:18
Colombia,608,6,10,03/29/2020 10:18
Qatar,590,1,45,03/29/2020 10:18
Hong Kong,582,4,112,03/29/2020 10:18
Egypt,576,36,121,03/29/2020 10:18
New Zealand,514,1,56,03/29/2020 10:18
Iraq,506,42,131,03/29/2020 10:18
