Country/Region,Confirmed,Deaths,Recovered,Last Update
China,81340,3292,74588,03/27/2020 16:45
USA,93329,1384,2424,03/27/2020 16:45
Italy,80589,8215,10361,03/27/2020 16:45
Spain,64059,4934,9357,03/27/2020 16:45
Germany,49344,304,5673,03/27/2020 16:45
Iran,32332,2378,11133,03/27/2020 16:45
France,29155,1696,4948,03/27/2020 16:45
UK,14543,759,135,03/27/2020 16:45
Switzerland,12311,207,897,03/27/2020 16:45
S. Korea,9332,139,4528,03/27/2020 16:45
Netherlands,8603,546,3,03/27/2020 16:45
Austria,7557,58,225,03/27/2020 16:45
Belgium,7284,289,858,03/27/2020 16:45
Portugal,4268,76,43,03/27/2020 16:45
Canada,4043,39,228,03/27/2020 16:45
Norway,3696,19,6,03/27/2020 16:45
Turkey,3629,75,26,03/27/2020 16:45
Australia,3180,13,170,03/27/2020 16:45
Sweden,3046,92,16,03/27/2020 16:45
Israel,3035,12,79,03/27/2020 16:45
Brazil,3027,77,6,03/27/2020 16:45
Malaysia,2161,26,259,03/27/2020 16:45
Czechia,2062,9,11,03/27/2020 16:45
Denmark,2010,52,1,03/27/2020 16:45
Ireland,1819,19,5,03/27/2020 16:45
Chile,1610,5,43,03/27/2020 16:45
Luxembourg,1605,15,40,03/27/2020 16:45
Ecuador,1595,36,3,03/27/2020 16:45
Japan,1387,47,359,03/27/2020 16:45
Pakistan,1296,9,23,03/27/2020 16:45
Romania,1292,24,115,03/27/2020 16:45
Poland,1289,16,7,03/27/2020 16:45
Thailand,1136,5,97,03/27/2020 16:45
Saudi Arabia,1104,3,35,03/27/2020 16:45
Indonesia,1046,87,46,03/27/2020 16:45
Finland,1041,7,10,03/27/2020 16:45
Russia,1036,3,45,03/27/2020 16:45
Greece,966,28,52,03/27/2020 16:45
South Africa,927,2,12,03/27/2020 16:45
Iceland,890,2,97,03/27/2020 16:45
India,878,20,73,03/27/2020 16:45
Philippines,803,54,31,03/27/2020 16:45
Singapore,732,2,183,03/27/2020 16:45
Diamond Princess,712,10,597,03/27/2020 16:45
Panama,674,9,2,03/27/2020 16:45
Slovenia,632,9,10,03/27/2020 16:45
Argentina,589,13,72,03/27/2020 16:45
Croatia,586,3,37,03/27/2020 16:45
Mexico,585,8,4,03/27/2020 16:45
Dominican Republic,581,20,3,03/27/2020 16:45
Peru,580,9,14,03/27/2020 16:45
Estonia,575,1,11,03/27/2020 16:45
Qatar,562,0,43,03/27/2020 16:45
Serbia,528,8,15,03/27/2020 16:45
Hong Kong,518,4,111,03/27/2020 16:45
Egypt,495,24,102,03/27/2020 16:45
Colombia,491,6,8,03/27/2020 16:45
Bahrain,466,4,227,03/27/2020 16:45
Iraq,458,40,122,03/27/2020 16:45
Algeria,409,26,29,03/27/2020 16:45
Lebanon,391,7,23,03/27/2020 16:45
New Zealand,368,0,37,03/27/2020 16:45
Lithuania,345,5,1,03/27/2020 16:45
UAE,333,2,52,03/27/2020 16:45
Armenia,329,1,28,03/27/2020 16:45
Hungary,300,10,34,03/27/2020 16:45
Bulgaria,293,3,9,03/27/2020 16:45
Latvia,280,0,1,03/27/2020 16:45
Morocco,275,11,8,03/27/2020 16:45
Slovakia,269,0,2,03/27/2020 16:45
Andorra,267,3,1,03/27/2020 16:45
Taiwan,267,2,30,03/27/2020 16:45
Uruguay,238,0,0,03/27/2020 16:45
Bosnia and Herzegovina,231,4,5,03/27/2020 16:45
Costa Rica,231,2,2,03/27/2020 16:45
Tunisia,227,6,2,03/27/2020 16:45
Ukraine,226,5,5,03/27/2020 16:45
Kuwait,225,0,57,03/27/2020 16:45
San Marino,223,21,4,03/27/2020 16:45
North Macedonia,219,3,3,03/27/2020 16:45
Jordan,212,0,2,03/27/2020 16:45
Moldova,199,2,2,03/27/2020 16:45
Albania,186,8,31,03/27/2020 16:45
Burkina Faso,180,9,12,03/27/2020 16:45
Azerbaijan,165,3,15,03/27/2020 16:45
Vietnam,163,0,20,03/27/2020 16:45
Cyprus,146,3,4,03/27/2020 16:45
Réunion,145,0,1,03/27/2020 16:45
Faeroe Islands,144,0,54,03/27/2020 16:45
Malta,139,0,2,03/27/2020 16:45
Kazakhstan,137,1,3,03/27/2020 16:45
Ghana,136,4,1,03/27/2020 16:45
Oman,131,0,23,03/27/2020 16:45
