Country/Region,Confirmed,Deaths,Recovered,Last Update
World,1118055,59203,229151,04/04/2020 07:31
US,0,0,12283,04/04/2020 07:31
Italy,119827,14681,19758,04/04/2020 07:31
Spain,119199,11198,30513,04/04/2020 07:31
Germany,91159,1275,24575,04/04/2020 07:31
France,82165,6507,14008,04/04/2020 07:31
China,81639,3326,76755,04/04/2020 07:31
Iran,53183,3294,17935,04/04/2020 07:31
United Kingdom,38168,3605,135,04/04/2020 07:31
Turkey,20921,425,484,04/04/2020 07:31
Switzerland,19606,591,4846,04/04/2020 07:31
Belgium,16770,1143,2872,04/04/2020 07:31
Netherlands,15723,1487,250,04/04/2020 07:31
Canada,12549,208,2322,04/04/2020 07:31
Austria,11525,168,2022,04/04/2020 07:31
South Korea,10156,177,6325,04/04/2020 07:31
Portugal,9886,246,68,04/04/2020 07:31
Brazil,9216,365,127,04/04/2020 07:31
Israel,7428,40,403,04/04/2020 07:31
Sweden,6131,358,205,04/04/2020 07:31
Australia,5550,30,585,04/04/2020 07:31
Norway,5370,59,32,04/04/2020 07:31
Ireland,4273,120,25,04/04/2020 07:31
Czechia,4190,53,72,04/04/2020 07:31
Russia,4149,34,281,04/04/2020 07:31
Denmark,3757,139,1193,04/04/2020 07:31
Chile,3737,22,427,04/04/2020 07:31
Poland,3383,71,56,04/04/2020 07:31
Ecuador,3368,145,65,04/04/2020 07:31
Malaysia,3333,53,827,04/04/2020 07:31
Romania,3183,133,283,04/04/2020 07:31
India,3082,86,229,04/04/2020 07:31
Philippines,3018,136,52,04/04/2020 07:31
Japan,2935,69,514,04/04/2020 07:31
Pakistan,2708,40,130,04/04/2020 07:31
Luxembourg,2612,31,500,04/04/2020 07:31
Thailand,2067,20,612,04/04/2020 07:31
Saudi Arabia,2039,25,351,04/04/2020 07:31
Indonesia,1986,181,134,04/04/2020 07:31
Mexico,1688,60,633,04/04/2020 07:31
Panama,1673,41,10,04/04/2020 07:31
Finland,1615,20,300,04/04/2020 07:31
Greece,1613,63,78,04/04/2020 07:31
Peru,1595,61,537,04/04/2020 07:31
South Africa,1505,9,95,04/04/2020 07:31
Dominican Republic,1488,68,16,04/04/2020 07:31
Serbia,1476,39,54,04/04/2020 07:31
Iceland,1364,4,309,04/04/2020 07:31
Argentina,1353,42,266,04/04/2020 07:31
Colombia,1267,25,55,04/04/2020 07:31
United Arab Emirates,1264,9,108,04/04/2020 07:31
Algeria,1171,105,62,04/04/2020 07:31
Singapore,1114,6,282,04/04/2020 07:31
Croatia,1079,8,92,04/04/2020 07:31
Qatar,1075,3,93,04/04/2020 07:31
Ukraine,1072,27,22,04/04/2020 07:31
Egypt,985,66,216,04/04/2020 07:31
Estonia,961,12,48,04/04/2020 07:31
New Zealand,950,1,127,04/04/2020 07:31
Slovenia,934,20,70,04/04/2020 07:31
Hong Kong,845,4,173,04/04/2020 07:31
Iraq,820,54,226,04/04/2020 07:31
Morocco,791,48,57,04/04/2020 07:31
Lithuania,771,9,7,04/04/2020 07:31
Armenia,736,7,43,04/04/2020 07:31
Diamond Princess,712,11,619,04/04/2020 07:31
Hungary,678,32,58,04/04/2020 07:31
Bahrain,673,4,388,04/04/2020 07:31
Moldova,591,8,26,04/04/2020 07:31
Bosnia and Herzegovina,579,17,27,04/04/2020 07:31
Cameroon,509,8,17,04/04/2020 07:31
Lebanon,508,17,50,04/04/2020 07:31
Kazakhstan,500,4,35,04/04/2020 07:31
Bulgaria,498,14,34,04/04/2020 07:31
Tunisia,495,18,5,04/04/2020 07:31
Latvia,493,1,1,04/04/2020 07:31
Slovakia,450,1,10,04/04/2020 07:31
Azerbaijan,443,5,32,04/04/2020 07:31
Andorra,439,16,16,04/04/2020 07:31
North Macedonia,430,12,20,04/04/2020 07:31
Kuwait,417,1,82,04/04/2020 07:31
Costa Rica,416,2,11,04/04/2020 07:31
Cyprus,396,11,28,04/04/2020 07:31
Uruguay,386,4,86,04/04/2020 07:31
Taiwan,355,5,50,04/04/2020 07:31
Belarus,351,4,53,04/04/2020 07:31
Reunion,321,0,40,04/04/2020 07:31
Jordan,310,5,58,04/04/2020 07:31
Albania,304,17,89,04/04/2020 07:31
Burkina Faso,302,16,50,04/04/2020 07:31
Afghanistan,299,6,10,04/04/2020 07:31
Cuba,269,6,15,04/04/2020 07:31
Honduras,264,15,3,04/04/2020 07:31
Oman,252,1,57,04/04/2020 07:31
San Marino,251,32,26,04/04/2020 07:31
Vietnam,239,0,90,04/04/2020 07:31
Channel Islands,232,4,13,04/04/2020 07:31
Uzbekistan,227,2,25,04/04/2020 07:31
Ivory Coast,218,1,19,04/04/2020 07:31
Nigeria,210,4,25,04/04/2020 07:31
Senegal,207,1,66,04/04/2020 07:31
Ghana,205,5,31,04/04/2020 07:31
Malta,202,0,2,04/04/2020 07:31
Palestine,194,1,21,04/04/2020 07:31
Mauritius,186,7,0,04/04/2020 07:31
Faeroe Islands,179,0,91,04/04/2020 07:31
Montenegro,174,2,1,04/04/2020 07:31
Sri Lanka,159,5,24,04/04/2020 07:31
Georgia,155,0,28,04/04/2020 07:31
Venezuela,153,7,52,04/04/2020 07:31
DRC,148,16,3,04/04/2020 07:31
Kyrgyzstan,144,1,6,04/04/2020 07:31
Martinique,143,3,27,04/04/2020 07:31
Bolivia,139,10,1,04/04/2020 07:31
Brunei,134,1,65,04/04/2020 07:31
Guadeloupe,130,7,24,04/04/2020 07:31
Mayotte,128,2,10,04/04/2020 07:31
Kenya,122,4,4,04/04/2020 07:31
Niger,120,5,0,04/04/2020 07:31
Isle of Man,114,1,0,04/04/2020 07:31
Cambodia,114,0,50,04/04/2020 07:31
Trinidad and Tobago,100,6,1,04/04/2020 07:31
Paraguay,96,3,12,04/04/2020 07:31
Gibraltar,95,0,46,04/04/2020 07:31
Rwanda,89,0,0,04/04/2020 07:31
Liechtenstein,75,0,0,04/04/2020 07:31
Guinea,73,0,2,04/04/2020 07:31
Bangladesh,70,8,26,04/04/2020 07:31
Madagascar,70,0,0,04/04/2020 07:31
Monaco,64,1,3,04/04/2020 07:31
Aruba,62,0,1,04/04/2020 07:31
French Guiana,57,0,22,04/04/2020 07:31
El Salvador,56,3,0,04/04/2020 07:31
Jamaica,53,3,7,04/04/2020 07:31
Barbados,51,0,0,04/04/2020 07:31
Guatemala,50,1,12,04/04/2020 07:31
Djibouti,49,0,8,04/04/2020 07:31
Uganda,48,0,0,04/04/2020 07:31
Macao,42,0,10,04/04/2020 07:31
Togo,40,3,17,04/04/2020 07:31
Mali,39,3,0,04/04/2020 07:31
Zambia,39,1,2,04/04/2020 07:31
French Polynesia,39,0,0,04/04/2020 07:31
Bermuda,35,0,14,04/04/2020 07:31
Ethiopia,35,0,3,04/04/2020 07:31
Cayman Islands,29,1,1,04/04/2020 07:31
Bahamas,24,3,0,04/04/2020 07:31
Sint Maarten,23,4,6,04/04/2020 07:31
Guyana,23,4,0,04/04/2020 07:31
Congo,22,2,2,04/04/2020 07:31
Saint Martin,22,1,2,04/04/2020 07:31
Eritrea,22,0,0,04/04/2020 07:31
Gabon,21,1,1,04/04/2020 07:31
Myanmar,20,1,0,04/04/2020 07:31
Tanzania,20,1,3,04/04/2020 07:31
Maldives,19,0,13,04/04/2020 07:31
Haiti,18,0,1,04/04/2020 07:31
New Caledonia,18,0,1,04/04/2020 07:31
Libya,17,1,0,04/04/2020 07:31
Benin,16,0,2,04/04/2020 07:31
Equatorial Guinea,16,0,1,04/04/2020 07:31
Syria,16,2,0,04/04/2020 07:31
Guinea-Bissau,15,0,0,04/04/2020 07:31
Antigua and Barbuda,15,0,0,04/04/2020 07:31
Dominica,14,0,0,04/04/2020 07:31
Mongolia,14,0,2,04/04/2020 07:31
Namibia,14,0,3,04/04/2020 07:31
Saint Lucia,13,0,1,04/04/2020 07:31
Fiji,12,0,0,04/04/2020 07:31
Grenada,12,0,0,04/04/2020 07:31
Curacao,11,1,3,04/04/2020 07:31
Seychelles,10,0,0,04/04/2020 07:31
Mozambique,10,0,0,04/04/2020 07:31
Laos,10,0,0,04/04/2020 07:31
Greenland,10,0,3,04/04/2020 07:31
Suriname,10,1,0,04/04/2020 07:31
