Country/Region,confirmed,deaths,recovered,Last Update
Bermuda,22,0,2,03/29/2020 14:46
Ethiopia,19,0,1,03/29/2020 14:46
Congo,19,0,0,03/29/2020 14:46
Mali,18,1,0,03/29/2020 14:46
Niger,18,1,0,03/29/2020 14:46
Maldives,17,0,11,03/29/2020 14:46
Guinea,16,0,0,03/29/2020 14:46
Haiti,15,0,1,03/29/2020 14:46
New Caledonia,15,0,0,03/29/2020 14:46
Djibouti,14,0,0,03/29/2020 14:46
Tanzania,14,0,1,03/29/2020 14:46
Equatorial Guinea,12,0,0,03/29/2020 14:46
Mongolia,12,0,0,03/29/2020 14:46
Saint Martin,11,0,0,03/29/2020 14:46
Dominica,11,0,0,03/29/2020 14:46
Namibia,11,0,2,03/29/2020 14:46
Greenland,10,0,2,03/29/2020 14:46
Bahamas,10,0,1,03/29/2020 14:46
Grenada,9,0,0,03/29/2020 14:46
Eswatini,9,0,0,03/29/2020 14:46
Cayman Islands,8,1,0,03/29/2020 14:46
Myanmar,8,0,0,03/29/2020 14:46
Curacao,8,1,2,03/29/2020 14:46
Seychelles,8,0,0,03/29/2020 14:46
Suriname,8,0,0,03/29/2020 14:46
Mozambique,8,0,0,03/29/2020 14:46
Laos,8,0,0,03/29/2020 14:46
Guyana,8,1,0,03/29/2020 14:46
Gabon,7,1,0,03/29/2020 14:46
Antigua and Barbuda,7,0,0,03/29/2020 14:46
Zimbabwe,7,1,0,03/29/2020 14:46
Cabo Verde,6,1,0,03/29/2020 14:46
Benin,6,0,0,03/29/2020 14:46
Eritrea,6,0,0,03/29/2020 14:46
Vatican City,6,0,0,03/29/2020 14:46
Syria,5,0,0,03/29/2020 14:46
St. Barth,5,0,0,03/29/2020 14:46
Montserrat,5,0,0,03/29/2020 14:46
Fiji,5,0,0,03/29/2020 14:46
Sudan,5,1,0,03/29/2020 14:46
Angola,5,0,0,03/29/2020 14:46
Mauritania,5,0,0,03/29/2020 14:46
Nepal,5,0,1,03/29/2020 14:46
Nicaragua,4,1,0,03/29/2020 14:46
Saint Lucia,4,0,1,03/29/2020 14:46
Turks and Caicos,4,0,0,03/29/2020 14:46
Bhutan,4,0,0,03/29/2020 14:46
Liberia,3,0,0,03/29/2020 14:46
