Country/Region,confirmed,deaths,recovered,Last Update
US,112314,1873,3219,03/28/2020 16:40
Italy,86498,9134,10950,03/28/2020 16:40
China,81394,3295,74971,03/28/2020 16:40
Spain,72248,5812,12285,03/28/2020 16:40
Germany,53340,399,6658,03/28/2020 16:40
Iran,35408,2517,11679,03/28/2020 16:40
France,32964,1995,5700,03/28/2020 16:40
United Kingdom,17089,1019,135,03/28/2020 16:40
Switzerland,13377,242,1530,03/28/2020 16:40
Netherlands,9762,639,3,03/28/2020 16:40
South Korea,9478,144,4811,03/28/2020 16:40
Belgium,9134,353,1063,03/28/2020 16:40
Austria,8030,68,225,03/28/2020 16:40
Turkey,5698,92,42,03/28/2020 16:40
Portugal,5170,100,43,03/28/2020 16:40
Canada,4782,55,354,03/28/2020 16:40
Norway,3973,20,7,03/28/2020 16:40
Australia,3635,14,170,03/28/2020 16:40
Brazil,3477,93,6,03/28/2020 16:40
Israel,3460,12,89,03/28/2020 16:40
Sweden,3069,105,16,03/28/2020 16:40
Czechia,2541,9,11,03/28/2020 16:40
Malaysia,2320,27,320,03/28/2020 16:40
Denmark,2201,65,1,03/28/2020 16:40
Ireland,2121,22,5,03/28/2020 16:40
Chile,1909,6,61,03/28/2020 16:40
Ecuador,1823,48,3,03/28/2020 16:40
Luxembourg,1605,15,40,03/28/2020 16:40
Japan,1499,49,404,03/28/2020 16:40
Poland,1481,17,7,03/28/2020 16:40
Romania,1452,30,139,03/28/2020 16:40
Pakistan,1420,12,29,03/28/2020 16:40
Russia,1264,4,49,03/28/2020 16:40
Thailand,1245,6,97,03/28/2020 16:40
Saudi Arabia,1203,4,37,03/28/2020 16:40
South Africa,1170,1,31,03/28/2020 16:40
Finland,1167,9,10,03/28/2020 16:40
Indonesia,1155,102,59,03/28/2020 16:40
Philippines,1075,68,35,03/28/2020 16:40
Greece,1061,32,52,03/28/2020 16:40
Iceland,963,2,97,03/28/2020 16:40
India,933,20,84,03/28/2020 16:40
Singapore,802,2,198,03/28/2020 16:40
Panama,786,14,2,03/28/2020 16:40
Dominican Republic,719,28,3,03/28/2020 16:40
Mexico,717,12,4,03/28/2020 16:40
Diamond Princess,712,10,597,03/28/2020 16:40
Argentina,690,17,72,03/28/2020 16:40
Slovenia,684,9,10,03/28/2020 16:40
Serbia,659,10,42,03/28/2020 16:40
Croatia,657,5,45,03/28/2020 16:40
Estonia,645,1,20,03/28/2020 16:40
Peru,635,11,16,03/28/2020 16:40
Qatar,562,0,43,03/28/2020 16:40
Hong Kong,560,4,112,03/28/2020 16:40
Colombia,539,6,10,03/28/2020 16:40
Egypt,536,30,116,03/28/2020 16:40
Iraq,506,42,131,03/28/2020 16:40
Bahrain,476,4,265,03/28/2020 16:40
UAE,468,2,52,03/28/2020 16:40
Algeria,454,29,29,03/28/2020 16:40
New Zealand,451,0,50,03/28/2020 16:40
Lebanon,412,8,27,03/28/2020 16:40
Lithuania,382,5,1,03/28/2020 16:40
Armenia,372,1,28,03/28/2020 16:40
Morocco,358,23,11,03/28/2020 16:40
Hungary,343,11,34,03/28/2020 16:40
Bulgaria,313,6,9,03/28/2020 16:40
Ukraine,311,8,5,03/28/2020 16:40
Andorra,308,3,1,03/28/2020 16:40
Latvia,305,0,1,03/28/2020 16:40
Slovakia,292,0,2,03/28/2020 16:40
Taiwan,283,2,30,03/28/2020 16:40
Uruguay,274,0,0,03/28/2020 16:40
Costa Rica,263,2,3,03/28/2020 16:40
Bosnia and Herzegovina,257,4,5,03/28/2020 16:40
North Macedonia,241,4,3,03/28/2020 16:40
Kuwait,235,0,64,03/28/2020 16:40
Jordan,235,1,18,03/28/2020 16:40
Moldova,231,2,2,03/28/2020 16:40
Kazakhstan,228,1,16,03/28/2020 16:40
Tunisia,227,7,2,03/28/2020 16:40
San Marino,223,21,6,03/28/2020 16:40
Burkina Faso,207,11,21,03/28/2020 16:40
Albania,197,10,31,03/28/2020 16:40
Azerbaijan,182,4,15,03/28/2020 16:40
Vietnam,174,0,21,03/28/2020 16:40
Cyprus,162,5,15,03/28/2020 16:40
Faeroe Islands,155,0,54,03/28/2020 16:40
Oman,152,0,23,03/28/2020 16:40
Malta,149,0,2,03/28/2020 16:40
Réunion,145,0,1,03/28/2020 16:40
Ghana,137,4,2,03/28/2020 16:40
Senegal,130,0,18,03/28/2020 16:40
Brunei,120,1,25,03/28/2020 16:40
Cuba,119,3,4,03/28/2020 16:40
Venezuela,113,2,39,03/28/2020 16:40
Sri Lanka,113,1,9,03/28/2020 16:40
Afghanistan,110,4,2,03/28/2020 16:40
Uzbekistan,104,2,5,03/28/2020 16:40
Mauritius,102,2,0,03/28/2020 16:40
Ivory Coast,101,0,3,03/28/2020 16:40
Cambodia,99,0,13,03/28/2020 16:40
Palestine,97,1,18,03/28/2020 16:40
Guadeloupe,96,2,17,03/28/2020 16:40
Honduras,95,1,3,03/28/2020 16:40
Belarus,94,0,32,03/28/2020 16:40
Martinique,93,1,0,03/28/2020 16:40
Cameroon,91,2,2,03/28/2020 16:40
Georgia,90,0,14,03/28/2020 16:40
Nigeria,89,1,3,03/28/2020 16:40
Channel Islands,88,1,0,03/28/2020 16:40
Montenegro,82,1,0,03/28/2020 16:40
Trinidad and Tobago,74,2,1,03/28/2020 16:40
Bolivia,74,0,0,03/28/2020 16:40
DRC,58,6,2,03/28/2020 16:40
Kyrgyzstan,58,0,0,03/28/2020 16:40
Liechtenstein,56,0,0,03/28/2020 16:40
Paraguay,56,3,1,03/28/2020 16:40
Gibraltar,56,0,14,03/28/2020 16:40
Rwanda,54,0,0,03/28/2020 16:40
Mayotte,50,0,0,03/28/2020 16:40
Bangladesh,48,5,15,03/28/2020 16:40
Monaco,42,0,1,03/28/2020 16:40
Kenya,38,1,1,03/28/2020 16:40
Macao,34,0,10,03/28/2020 16:40
Aruba,33,0,1,03/28/2020 16:40
Guatemala,32,1,4,03/28/2020 16:40
Isle of Man,32,0,0,03/28/2020 16:40
French Polynesia,30,0,0,03/28/2020 16:40
Jamaica,30,1,2,03/28/2020 16:40
Zambia,28,0,0,03/28/2020 16:40
French Guiana,28,0,6,03/28/2020 16:40
Madagascar,26,0,0,03/28/2020 16:40
Barbados,26,0,0,03/28/2020 16:40
Togo,25,1,1,03/28/2020 16:40
Uganda,23,0,0,03/28/2020 16:40
El Salvador,19,0,0,03/28/2020 16:40
Mali,18,0,0,03/28/2020 16:40
Bermuda,17,0,2,03/28/2020 16:40
Ethiopia,16,0,1,03/28/2020 16:40
Maldives,16,0,9,03/28/2020 16:40
New Caledonia,15,0,0,03/28/2020 16:40
Tanzania,13,0,1,03/28/2020 16:40
Djibouti,12,0,0,03/28/2020 16:40
Equatorial Guinea,12,0,0,03/28/2020 16:40
Mongolia,12,0,0,03/28/2020 16:40
Dominica,11,0,0,03/28/2020 16:40
Saint Martin,11,0,0,03/28/2020 16:40
Niger,10,1,0,03/28/2020 16:40
Bahamas,10,0,1,03/28/2020 16:40
Greenland,10,0,2,03/28/2020 16:40
Eswatini,9,0,0,03/28/2020 16:40
Curaçao,8,1,2,03/28/2020 16:40
Namibia,8,0,2,03/28/2020 16:40
Guinea,8,0,0,03/28/2020 16:40
Suriname,8,0,0,03/28/2020 16:40
Cayman Islands,8,1,0,03/28/2020 16:40
Myanmar,8,0,0,03/28/2020 16:40
Mozambique,8,0,0,03/28/2020 16:40
Haiti,8,0,0,03/28/2020 16:40
Gabon,7,1,0,03/28/2020 16:40
Zimbabwe,7,1,0,03/28/2020 16:40
Antigua and Barbuda,7,0,0,03/28/2020 16:40
Grenada,7,0,0,03/28/2020 16:40
Seychelles,7,0,0,03/28/2020 16:40
Benin,6,0,0,03/28/2020 16:40
Eritrea,6,0,0,03/28/2020 16:40
Laos,6,0,0,03/28/2020 16:40
Mauritania,5,0,0,03/28/2020 16:40
Syria,5,0,0,03/28/2020 16:40
St. Barth,5,0,0,03/28/2020 16:40
Montserrat,5,0,0,03/28/2020 16:40
Cabo Verde,5,1,0,03/28/2020 16:40
Fiji,5,0,0,03/28/2020 16:40
Nepal,5,0,1,03/28/2020 16:40
Sudan,5,1,0,03/28/2020 16:40
Guyana,5,1,0,03/28/2020 16:40
Vatican City,4,0,0,03/28/2020 16:40
Congo,4,0,0,03/28/2020 16:40
Angola,4,0,0,03/28/2020 16:40
Nicaragua,4,1,0,03/28/2020 16:40
Bhutan,3,0,0,03/28/2020 16:40
Chad,3,0,0,03/28/2020 16:40
Liberia,3,0,0,03/28/2020 16:40
Saint Lucia,3,0,1,03/28/2020 16:40
Sint Maarten,3,0,0,03/28/2020 16:40
Somalia,3,0,0,03/28/2020 16:40
Gambia,3,1,0,03/28/2020 16:40
CAR,3,0,0,03/28/2020 16:40
Guinea-Bissau,2,0,0,03/28/2020 16:40
Turks and Caicos,2,0,0,03/28/2020 16:40
Saint Kitts and Nevis,2,0,0,03/28/2020 16:40
Belize,2,0,0,03/28/2020 16:40
British Virgin Islands,2,0,0,03/28/2020 16:40
MS Zaandam,2,0,0,03/28/2020 16:40
Anguilla,2,0,0,03/28/2020 16:40
Libya,1,0,0,03/28/2020 16:40
Papua New Guinea,1,0,0,03/28/2020 16:40
St. Vincent Grenadines,1,0,0,03/28/2020 16:40
Timor-Leste,1,0,0,03/28/2020 16:40
