Country/Region,Confirmed,Deaths,Recovered,Last Update
China,81340,3292,74588,03/27/2020 10:07
USA,85612,1301,1868,03/27/2020 10:07
Italy,80589,8215,10361,03/27/2020 10:07
Spain,57786,4365,7015,03/27/2020 10:07
Germany,47278,281,5673,03/27/2020 10:07
Iran,32332,2378,11133,03/27/2020 10:07
France,29155,1696,4948,03/27/2020 10:07
Switzerland,11811,194,131,03/27/2020 10:07
UK,11658,578,135,03/27/2020 10:07
S. Korea,9332,139,4528,03/27/2020 10:07
Netherlands,7431,434,3,03/27/2020 10:07
Austria,7129,58,225,03/27/2020 10:07
Belgium,6235,220,675,03/27/2020 10:07
Canada,4043,39,228,03/27/2020 10:07
Turkey,3629,75,26,03/27/2020 10:07
Portugal,3544,60,43,03/27/2020 10:07
Norway,3380,15,6,03/27/2020 10:07
Australia,3166,13,170,03/27/2020 10:07
Israel,3035,10,79,03/27/2020 10:07
Brazil,2985,77,6,03/27/2020 10:07
Sweden,2840,77,16,03/27/2020 10:07
Malaysia,2161,26,259,03/27/2020 10:07
Czechia,2062,9,10,03/27/2020 10:07
Denmark,2010,41,1,03/27/2020 10:07
Ireland,1819,19,5,03/27/2020 10:07
Luxembourg,1453,9,6,03/27/2020 10:07
Ecuador,1403,34,3,03/27/2020 10:07
Japan,1387,47,359,03/27/2020 10:07
Chile,1306,4,22,03/27/2020 10:07
Poland,1244,16,7,03/27/2020 10:07
Pakistan,1235,9,23,03/27/2020 10:07
Thailand,1136,5,97,03/27/2020 10:07
Indonesia,1046,87,46,03/27/2020 10:07
Russia,1036,3,45,03/27/2020 10:07
Romania,1029,24,94,03/27/2020 10:07
Saudi Arabia,1012,3,33,03/27/2020 10:07
Finland,1004,5,10,03/27/2020 10:07
South Africa,927,2,12,03/27/2020 10:07
Greece,892,27,42,03/27/2020 10:07
Philippines,803,54,31,03/27/2020 10:07
Iceland,802,2,82,03/27/2020 10:07
India,761,20,71,03/27/2020 10:07
Diamond Princess,712,10,597,03/27/2020 10:07
Singapore,683,2,172,03/27/2020 10:07
Panama,674,9,2,03/27/2020 10:07
Argentina,589,12,72,03/27/2020 10:07
Mexico,585,8,4,03/27/2020 10:07
Peru,580,9,14,03/27/2020 10:07
Estonia,575,1,8,03/27/2020 10:07
Slovenia,562,6,10,03/27/2020 10:07
Croatia,551,3,37,03/27/2020 10:07
Qatar,549,0,43,03/27/2020 10:07
Hong Kong,518,4,111,03/27/2020 10:07
Egypt,495,24,102,03/27/2020 10:07
Colombia,491,6,8,03/27/2020 10:07
Dominican Republic,488,10,3,03/27/2020 10:07
Bahrain,458,4,210,03/27/2020 10:07
Serbia,457,7,15,03/27/2020 10:07
Iraq,382,36,105,03/27/2020 10:07
Lebanon,368,6,23,03/27/2020 10:07
New Zealand,368,0,37,03/27/2020 10:07
Algeria,367,25,29,03/27/2020 10:07
Lithuania,345,5,1,03/27/2020 10:07
UAE,333,2,52,03/27/2020 10:07
Armenia,329,1,18,03/27/2020 10:07
Hungary,300,10,34,03/27/2020 10:07
Latvia,280,0,1,03/27/2020 10:07
Bulgaria,276,3,8,03/27/2020 10:07
Morocco,275,11,8,03/27/2020 10:07
Taiwan,267,2,30,03/27/2020 10:07
Uruguay,238,0,0,03/27/2020 10:07
Costa Rica,231,2,2,03/27/2020 10:07
Bosnia and Herzegovina,230,3,5,03/27/2020 10:07
Tunisia,227,6,2,03/27/2020 10:07
Slovakia,226,0,2,03/27/2020 10:07
Kuwait,225,0,57,03/27/2020 10:07
Andorra,224,3,1,03/27/2020 10:07
Ukraine,218,5,4,03/27/2020 10:07
Jordan,212,0,2,03/27/2020 10:07
San Marino,208,21,4,03/27/2020 10:07
North Macedonia,201,3,3,03/27/2020 10:07
Moldova,177,2,2,03/27/2020 10:07
Albania,174,8,17,03/27/2020 10:07
Vietnam,153,0,20,03/27/2020 10:07
Burkina Faso,152,7,10,03/27/2020 10:07
Cyprus,146,3,4,03/27/2020 10:07
Faeroe Islands,144,0,54,03/27/2020 10:07
Ghana,136,4,1,03/27/2020 10:07
Réunion,135,0,1,03/27/2020 10:07
Malta,134,0,2,03/27/2020 10:07
Oman,131,0,23,03/27/2020 10:07
Kazakhstan,125,1,2,03/27/2020 10:07
Azerbaijan,122,3,15,03/27/2020 10:07
Brunei,115,0,11,03/27/2020 10:07
Venezuela,107,1,15,03/27/2020 10:07
Sri Lanka,106,0,7,03/27/2020 10:07
Senegal,105,0,9,03/27/2020 10:07
Cambodia,98,0,11,03/27/2020 10:07
Ivory Coast,96,0,3,03/27/2020 10:07
Afghanistan,94,4,2,03/27/2020 10:07
Palestine,91,1,17,03/27/2020 10:07
Cameroon,88,2,2,03/27/2020 10:07
Belarus,86,0,29,03/27/2020 10:07
Uzbekistan,83,1,5,03/27/2020 10:07
Mauritius,81,2,0,03/27/2020 10:07
Martinique,81,1,0,03/27/2020 10:07
Georgia,81,0,13,03/27/2020 10:07
Guadeloupe,73,1,0,03/27/2020 10:07
Montenegro,70,1,0,03/27/2020 10:07
Cuba,67,2,1,03/27/2020 10:07
Honduras,67,1,0,03/27/2020 10:07
Channel Islands,66,1,0,03/27/2020 10:07
Nigeria,65,1,3,03/27/2020 10:07
Trinidad and Tobago,65,1,0,03/27/2020 10:07
Bolivia,61,0,0,03/27/2020 10:07
Kyrgyzstan,58,0,0,03/27/2020 10:07
Liechtenstein,56,0,0,03/27/2020 10:07
Paraguay,52,3,1,03/27/2020 10:07
DRC,51,3,2,03/27/2020 10:07
Mayotte,50,0,0,03/27/2020 10:07
Rwanda,50,0,0,03/27/2020 10:07
Bangladesh,48,5,11,03/27/2020 10:07
Gibraltar,35,0,13,03/27/2020 10:07
Macao,33,0,10,03/27/2020 10:07
Monaco,33,0,1,03/27/2020 10:07
Kenya,31,1,1,03/27/2020 10:07
French Polynesia,30,0,0,03/27/2020 10:07
Aruba,28,0,1,03/27/2020 10:07
French Guiana,28,0,6,03/27/2020 10:07
Jamaica,26,1,2,03/27/2020 10:07
Isle of Man,26,0,0,03/27/2020 10:07
Guatemala,25,1,4,03/27/2020 10:07
Barbados,24,0,0,03/27/2020 10:07
Togo,24,0,1,03/27/2020 10:07
Madagascar,23,0,0,03/27/2020 10:07
Uganda,18,0,0,03/27/2020 10:07
Ethiopia,16,0,0,03/27/2020 10:07
Zambia,16,0,0,03/27/2020 10:07
Bermuda,15,0,2,03/27/2020 10:07
New Caledonia,15,0,0,03/27/2020 10:07
El Salvador,13,0,0,03/27/2020 10:07
Maldives,13,0,9,03/27/2020 10:07
Tanzania,13,0,0,03/27/2020 10:07
Equatorial Guinea,12,0,0,03/27/2020 10:07
Djibouti,11,0,0,03/27/2020 10:07
Dominica,11,0,0,03/27/2020 10:07
Mongolia,11,0,0,03/27/2020 10:07
Saint Martin,11,0,0,03/27/2020 10:07
Niger,10,1,0,03/27/2020 10:07
Bahamas,9,0,1,03/27/2020 10:07
Greenland,9,0,2,03/27/2020 10:07
Cayman Islands,8,1,0,03/27/2020 10:07
Haiti,8,0,0,03/27/2020 10:07
Namibia,8,0,2,03/27/2020 10:07
Suriname,8,0,0,03/27/2020 10:07
Curaçao,7,1,2,03/27/2020 10:07
Gabon,7,1,0,03/27/2020 10:07
Antigua and Barbuda,7,0,0,03/27/2020 10:07
Grenada,7,0,0,03/27/2020 10:07
Mozambique,7,0,0,03/27/2020 10:07
Seychelles,7,0,0,03/27/2020 10:07
Benin,6,0,0,03/27/2020 10:07
Eritrea,6,0,0,03/27/2020 10:07
Laos,6,0,0,03/27/2020 10:07
Eswatini,6,0,0,03/27/2020 10:07
Cabo Verde,5,1,0,03/27/2020 10:07
Guyana,5,1,0,03/27/2020 10:07
Zimbabwe,5,1,0,03/27/2020 10:07
Fiji,5,0,0,03/27/2020 10:07
Montserrat,5,0,0,03/27/2020 10:07
Myanmar,5,0,0,03/27/2020 10:07
Syria,5,0,0,03/27/2020 10:07
Angola,4,0,0,03/27/2020 10:07
Congo,4,0,0,03/27/2020 10:07
Guinea,4,0,0,03/27/2020 10:07
Vatican City,4,0,0,03/27/2020 10:07
Mali,4,0,0,03/27/2020 10:07
Gambia,3,1,0,03/27/2020 10:07
Sudan,3,1,0,03/27/2020 10:07
Nepal,3,0,1,03/27/2020 10:07
Bhutan,3,0,0,03/27/2020 10:07
CAR,3,0,0,03/27/2020 10:07
Chad,3,0,0,03/27/2020 10:07
Liberia,3,0,0,03/27/2020 10:07
Mauritania,3,0,0,03/27/2020 10:07
St. Barth,3,0,0,03/27/2020 10:07
Saint Lucia,3,0,1,03/27/2020 10:07
Sint Maarten,3,0,0,03/27/2020 10:07
Somalia,3,0,0,03/27/2020 10:07
Nicaragua,2,1,0,03/27/2020 10:07
Anguilla,2,0,0,03/27/2020 10:07
