Province/State,Country/Region,Last Update,confirmed,deaths,recovered
Australian Capital Territory,Australia,03/29/2020 15:16,77,,
New South Wales,Australia,03/29/2020 15:16,1791,,
Northern Territory,Australia,03/29/2020 15:16,14,,
Queensland,Australia,03/29/2020 15:16,656,,
South Australia,Australia,03/29/2020 15:16,287,,
Tasmania,Australia,03/29/2020 15:16,61,,
Victoria,Australia,03/29/2020 15:16,769,,
Western Australia,Australia,03/29/2020 15:16,311,,
Eyibaolu,China,03/29/2020 15:16,67801,3182,62570.0
Di 欐 rot,China,03/29/2020 15:16,641,4,112.0
Right-version of the goo,China,03/29/2020 15:16,298,2,30.0
Zhenjianhanning,China,03/29/2020 15:16,577,8,412.0
Juancongdaoning,China,03/29/2020 15:16,492,5,334.0
Qiankuaminlu,China,03/29/2020 15:16,1475,8,1349.0
Fuhanhuanlu,China,03/29/2020 15:16,338,1,295.0
Still water ╂ touch Ning,China,03/29/2020 15:16,166,3,133.0
Xianlilielu,China,03/29/2020 15:16,1254,1,1225.0
Tick ​​pumping 棬,China,03/29/2020 15:16,37,0,10.0
鍐呰 挋鍙 I 嚜娌 诲尯,China,03/29/2020 15:16,95,1,74.0
Babianminlu,China,03/29/2020 15:16,772,7,752.0
Chaxizhenlu,China,03/29/2020 15:16,644,0,631.0
Qiesikoulu,China,03/29/2020 15:16,550,3,536.0
Uushanmenlu,China,03/29/2020 15:16,137,2,125.0
闄曡Ta鐪,China,03/29/2020 15:16,253,3,242.0
Chajiemulu,China,03/29/2020 15:16,134,2,124.0
Beach 戝崡 鐪,China,03/29/2020 15:16,180,2,172.0
鍚夋 灄鐪,China,03/29/2020 15:16,98,1,92.0
Lichonghanlu,China,03/29/2020 15:16,1276,22,1251.0
Read 嶅 Jenning,China,03/29/2020 15:16,579,6,570.0
Lichongbaolu,China,03/29/2020 15:16,319,6,310.0
Ba Lu braid ta,China,03/29/2020 15:16,136,0,133.0
Cha Xi Lu Tatari,China,03/29/2020 15:16,937,1,934.0
Zhenzhanxiecha Xiyan,China,03/29/2020 15:16,484,13,469.0
Qian hip Tatari Dan Zu Xi Meilihuikui,China,03/29/2020 15:16,254,2,250.0
Ludiandanlu,China,03/29/2020 15:16,147,2,144.0
Eyihanlu,China,03/29/2020 15:16,1018,4,1014.0
Yuesuijionglu,China,03/29/2020 15:16,990,6,984.0
Xianfenghanlu,China,03/29/2020 15:16,168,6,162.0
Koubanyuezi Cunyonghaobi Melihuikui,China,03/29/2020 15:16,76,3,73.0
Yuehuohanwu arrowhead Xi Melihuikui,China,03/29/2020 15:16,75,0,75.0
Weishudaolu,China,03/29/2020 15:16,18,0,18.0
Yuan Cai hip Nielihuikui,China,03/29/2020 15:16,1,0,1.0
,,03/29/2020 15:16,Confirmed,Deaths,
New York,US,03/29/2020 15:16,53520,834,
New Jersey,US,03/29/2020 15:16,11124,140,
California,US,03/29/2020 15:16,5655,120,
Michigan,US,03/29/2020 15:16,4659,112,
WA,US,03/29/2020 15:16,4312,189,
Massachusetts,US,03/29/2020 15:16,4257,44,
Florida,US,03/29/2020 15:16,4038,54,
Illinois,US,03/29/2020 15:16,3498,47,
Louisiana,US,03/29/2020 15:16,3315,137,
Pennsylvania,US,03/29/2020 15:16,2909,35,
Texas,US,03/29/2020 15:16,2535,34,
Georgia,US,03/29/2020 15:16,2446,79,
Colorado,US,03/29/2020 15:16,2063,44,
Connecticut,US,03/29/2020 15:16,1524,33,
Tennessee,US,03/29/2020 15:16,1512,7,
Ohio,US,03/29/2020 15:16,1406,25,
Indiana,US,03/29/2020 15:16,1232,31,
